Position,Title,IMDB,Rating
1,Apollo 13,7.5,PG-13
2,Batman Forever,5.4,PG-13
3,Pocahontas,6.0,G
4,Ace Ventura: When Nature Calls,5.8,PG-13
5,Jumanji,6.4,PG
6,Casper,5.7,PG
7,Se7en,8.7,R
8,Die Hard: With a Vengeance,7.4,R
9,GoldenEye,7.2,PG-13
10,Crimson Tide,7.2,R
11,Waterworld,5.7,PG-13
12,Dangerous Minds,5.9,R
13,While You Were Sleeping,6.5,PG
14,Father of the Bride Part II,5.5,PG
15,Congo,4.6,PG-13
16,Braveheart,8.4,R
17,Get Shorty,6.9,R
18,The Bridges of Madison County,7.3,R
19,Mortal Kombat,5.5,PG-13
20,Grumpier Old Men,6.3,PG-13
21,Nine Months,5.3,PG-13
22,Outbreak,6.5,R
23,Heat,8.3,R
24,Waiting to Exhale,5.0,R
25,Babe,7.1,G
26,Legends of the Fall,7.1,R
27,Bad Boys,6.6,R
28,The American President,6.8,PG-13
29,Species,5.6,R
30,Sabrina,6.0,PG
31,Assassins,6.0,R
32,Something to Talk About,5.5,R
33,Under Siege 2: Dark Territory,5.1,R
34,A Walk in the Clouds,6.3,PG-13
35,Clueless,6.7,PG-13
36,The Brady Bunch Movie,5.6,PG-13
37,The Net,5.6,PG-13
38,Sense and Sensibility,7.7,PG
39,Casino,8.1,R
40,Man of the House,4.3,PG
41,Nobody's Fool,7.3,R
42,French Kiss,6.3,PG-13
43,Higher Learning,6.2,R
44,Mighty Morphin Power Rangers: The Movie,4.0,PG
45,First Knight,5.6,PG-13
46,Just Cause,6.2,R
47,"To Wong Foo Thanks for Everything, Julie Newmar",5.7,PG-13
48,The Indian in the Cupboard,5.7,PG
49,A Goofy Movie,6.6,G
50,Money Train,5.3,R
