Position,Title,IMDB,Rating
1,The Hunger Games: Mockingjay Part 1,6.9,PG-13
3,Captain America: The Winter Soldier,8.1,PG-13
4,The Lego Movie,8.0,PG
5,The Hobbit 3: The Battle of the Five Armies,7.6,PG-13
6,Transformers Age Of Extinction,6.2,PG-13
8,X-Men: Days of Future Past,8.3,PG-13
9,Big Hero 6,8.0,PG
11,The Amazing Spider-Man 2,7.1,PG-13
13,22 Jump Street,7.7,R
15,Interstellar,8.8,PG-13
16,How to Train Your Dragon 2,8.2,PG
18,Divergent,7.4,PG-13
20,Ride Along,6.2,PG-13
22,Into the Woods,6.1,PG
24,Lone Survivor,7.7,R
25,The Fault in Our Stars,8.2,PG-13
26,Unbroken,7.2,PG-13
27,Night at the Museum 3 Secret of the Tomb,6.3,PG
28,Mr. Peabody & Sherman,7.0,PG
30,The Maze Runner,7.0,PG-13
32,The Equalizer,7.3,R
34,Non-Stop,7.1,PG-13
35,Heaven Is for Real,5.6,PG
36,The Imitation Game,8.1,PG-13
38,Annie,5.1,PG
40,Annabelle,5.5,R
42,The Other Woman,6.1,PG-13
43,The Penguins of Madagascar,6.7,PG
44,Let's Be Cops,6.7,R
46,Hercules,6.3,PG-13
47,The Purge Anarchy,6.6,R
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,PG
49,Think Like a Man Too,5.6,PG-13
50,Exodus: Gods and Kings,6.1,PG-13
51,The Nut Job,5.8,PG
53,Son of God,5.4,PG-13
54,Planes: Fire & Rescue,5.8,PG
55,RoboCop,6.4,PG-13
56,The Grand Budapest Hotel,8.3,R
58,Horrible Bosses 2,6.4,R
59,The Hundred-Foot Journey,7.5,PG
60,No Good Deed,5.6,PG-13
61,Muppets Most Wanted,6.9,PG
63,Jack Ryan: Shadow Recruit,6.5,PG-13
65,The Boxtrolls,7.0,PG
66,Book of Life,7.4,PG
67,About Last Night,6.1,R
69,The Judge,7.5,R
70,Jersey Boys,7.3,R
72,The Giver,6.6,PG-13
73,St. Vincent,7.3,PG-13
75,John Wick,7.2,R
77,Dolphin Tale 2,6.5,PG
79,Million Dollar Arm,7.4,PG
80,The Expendables 3,6.2,PG-13
82,Earth to Echo,5.8,PG
83,Wild,7.2,R
84,August: Osage County,7.4,R
85,The Theory of Everything,7.8,PG-13
87,The Gambler,6.1,R
88,Paranormal Activity The Marked Ones,5.1,R
89,Nightcrawler,8.0,R
90,Chef,7.4,R
92,Deliver Us from Evil,6.4,R
93,Get on Up,7.1,PG-13
94,When the Game Stands Tall,7.0,PG
95,Draft Day,7.0,R
97,The Best of Me,6.6,PG-13
99,A Walk Among the Tombstones,6.7,R
