Position,Title,IMDB,Rating
1,Star Wars: Episode III - Revenge of the Sith,7.8,PG-13
2,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.0,PG
3,Harry Potter and the Goblet of Fire,7.6,PG-13
4,War of the Worlds,6.6,PG-13
5,King Kong,7.6,PG-13
6,Wedding Crashers,7.1,R
7,Charlie and the Chocolate Factory,7.1,PG
8,Batman Begins,8.3,PG-13
9,Madagascar,6.6,PG
10,Mr. & Mrs. Smith,6.4,PG-13
11,Hitch,6.8,PG-13
12,The Longest Yard,6.2,PG-13
13,Fantastic Four,5.7,PG-13
14,Chicken Little,5.8,G
15,Robots,6.4,PG
16,Walk the Line,7.9,PG-13
17,Wallace & Gromit in The Curse of the Were-Rabbit,7.7,G
18,The Pacifier,5.3,PG
19,Fun with Dick and Jane,6.0,PG-13
20,The 40 Year Old Virgin,7.5,R
21,Million Dollar Baby,8.2,PG-13
22,Flightplan,6.2,PG-13
23,Saw II,6.7,R
24,Brokeback Mountain,7.8,R
25,Monster-in-Law,5.1,PG-13
26,Cheaper by the Dozen 2,5.2,PG
27,Are We There Yet?,4.2,PG
28,The Dukes of Hazzard,4.8,PG-13
29,March of the Penguins,7.8,G
30,Constantine,6.7,R
31,The Ring Two,5.1,R
32,The Exorcism of Emily Rose,6.8,PG-13
33,Four Brothers,6.8,R
34,Sin City,8.3,R
35,The Interpreter,6.5,PG-13
36,Sideways,7.8,R
37,Sahara,5.9,PG-13
38,Guess Who,5.7,PG-13
39,Coach Carter,7.1,PG-13
40,Herbie Fully Loaded,4.7,G
41,The Amityville Horror,5.8,R
42,Sky High,6.6,PG
43,Jarhead,7.2,R
44,Bewitched,4.8,PG-13
45,Cinderella Man,8.0,PG-13
46,The Family Stone,6.3,PG-13
47,Red Eye,6.5,PG-13
48,Memoirs of a Geisha,7.1,PG-13
49,White Noise,5.5,
50,Be Cool,5.6,PG-13
