Position,Title,IMDB,Rating
1,Home Alone,7.0,PG
2,Ghost,6.9,PG-13
3,Dances with Wolves,8.0,PG-13
4,Pretty Woman,6.7,R
5,Teenage Mutant Ninja Turtles,6.3,PG
6,The Hunt for Red October,7.6,PG
8,Die Hard 2,7.0,R
9,Driving Miss Daisy,7.5,PG
10,Dick Tracy,6.0,PG
12,Back to the Future Part III,7.2,PG
13,Presumed Innocent,6.8,R
14,Days of Thunder,5.5,PG-13
15,Another 48 Hrs.,5.5,R
16,3 Men and a Little Lady,4.7,PG
17,Bird on a Wire,5.5,PG-13
18,The Godfather: Part III,7.6,R
19,Flatliners,6.4,R
20,Misery,7.8,R
22,Problem Child,4.5,PG
23,Arachnophobia,6.2,PG-13
24,Awakenings,7.6,PG-13
25,Look Who's Talking Too,4.1,PG-13
26,Hard to Kill,5.2,R
27,Goodfellas,8.8,R
28,Marked for Death,5.3,R
29,RoboCop 2,5.4,R
30,Young Guns II,6.0,PG-13
31,Gremlins 2: The New Batch,6.1,PG-13
32,Rocky V,4.5,PG-13
33,Joe Versus the Volcano,5.4,PG
34,Postcards from the Edge,6.5,R
35,Mermaids,6.4,PG-13
36,Darkman,6.3,R
37,Air America,5.4,R
38,Pacific Heights,6.2,R
39,Child's Play 2,5.2,R
40,Predator 2,6.0,R
41,The Rescuers Down Under,6.7,G
42,Internal Affairs,6.4,R
43,Cadillac Man,5.4,R
44,Memphis Belle,6.8,PG-13
45,House Party,5.8,R
46,Jacob's Ladder,7.5,R
48,Navy Seals,5.1,R
49,Ernest Goes to Jail,4.9,PG
50,Ghost Dad,4.0,PG
