Position,Title,IMDB,Rating
2,The Dark Knight Rises,8.7,PG-13
4,Skyfall,7.8,PG-13
5,The Hobbit: An Unexpected Journey,8.2,PG-13
6,The Twilight Saga: Breaking Dawn Part 2,5.7,PG-13
7,The Amazing Spider-Man,7.3,PG-13
9,Ted,7.2,R
10,Madagascar 3: Europe's Most Wanted,7.0,PG
12,Wreck-It Ralph,7.9,PG
14,Men in Black III,7.0,PG-13
16,Ice Age: Continental Drift,6.6,PG
17,Snow White and the Huntsman,6.3,PG-13
18,Les Miserables,7.8,PG-13
20,Taken 2,6.2,PG-13
22,Silver Linings Playbook,7.9,R
24,Prometheus,7.3,R
26,The Vow,6.7,PG-13
28,Magic Mike,6.2,R
30,Journey 2: The Mysterious Island,5.7,PG
32,Flight,7.3,PG-13
33,Think Like a Man,5.8,PG-13
35,The Expendables 2,7.1,R
37,Jack Reacher,7.0,PG-13
38,Dark Shadows,6.4,PG-13
40,John Carter,6.8,PG-13
42,This Is 40,6.2,R
44,Looper,7.7,R
45,Madea's Witness Protection,3.7,PG-13
46,Battleship,6.0,PG-13
48,Chronicle,7.1,PG-13
50,Hope Springs,6.4,PG-13
51,Underworld Awakening,6.4,R
53,The Dictator,6.6,R
55,American Reunion,7.0,R
56,ParaNorman,7.2,PG
58,Project X,6.7,R
60,Paranormal Activity 4,4.4,R
62,Ghost Rider: Spirit of Vengeance,4.5,PG-13
64,The Grey,6.9,R
66,The Possession,5.8,R
67,Diary of a Wimpy Kid: Dog Days,6.1,PG
69,Savages,6.6,R
70,The Best Exotic Marigold Hotel,7.3,PG-13
72,Here Comes the Boom,6.4,R
74,The Three Stooges,5.2,PG-13
75,Resident Evil: Retribution,5.3,R
77,What to Expect When You're Expecting,5.4,PG-13
79,Rock of Ages,6.0,PG-13
81,Lawless,7.4,R
83,That's My Boy,5.5,R
84,Trouble with the Curve,6.7,PG-13
86,Step Up Revolution,6.2,PG-13
87,Good Deeds,4.2,PG-13
89,2016: Obama's America,5.0,PG
90,Extremely Loud and Incredibly Close,6.8,PG-13
92,The Pirates! Band of Misfits,6.8,PG
93,Joyful Noise,4.9,PG-13
94,The Iron Lady,6.4,PG-13
95,Chimpanzee,6.9,G
96,The Five-Year Engagement,6.3,R
97,Cloud Atlas,7.7,R
98,One for the Money,5.1,PG-13
100,Katy Perry: Part of Me,4.8,PG
