Position,Title,IMDB,Rating
2,Tangled,7.9,PG
4,Iron Man 2,7.2,PG-13
6,Harry Potter and the Deathly Hallows: Part 1,7.7,PG-13
8,Despicable Me,7.5,PG
10,How to Train Your Dragon,8.2,PG
12,TRON: Legacy,7.1,PG
14,Clash of the Titans,5.9,PG-13
16,Little Fockers,5.3,PG-13
18,The King's Speech,8.4,R
20,Shutter Island,8.0,R
22,Salt,6.5,PG-13
24,Valentine's Day,5.7,PG-13
26,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,PG
28,Due Date,6.8,R
29,Yogi Bear,4.2,PG
31,The Social Network,8.2,PG-13
32,Sex and the City 2,4.0,R
34,The Fighter,8.0,R
36,Prince of Persia: The Sands of Time,6.8,PG-13
37,Red,7.1,PG-13
38,Percy Jackson & the Olympians: The Lightning Thief,5.8,PG
40,Unstoppable,6.9,PG-13
41,IMAX: Hubble 3D,7.9,G
43,Dear John,5.9,PG-13
45,Knight and Day,6.5,PG-13
47,The Tourist,5.9,PG-13
49,Skyline,4.5,PG-13
51,The Sorcerer's Apprentice,6.3,PG
53,The Last Song,4.3,PG
55,Get Him to the Greek,6.6,R
56,Resident Evil: Afterlife,5.9,R
57,Why Did I Get Married Too?,3.0,PG-13
59,Secretariat,7.1,PG
61,Takers,5.8,PG-13
62,Legend of the Guardians: The Owls of Ga'Hoole,7.0,PG
64,Letters to Juliet,6.3,PG
65,Wall Street: Money Never Sleeps,6.4,PG-13
67,Hot Tub Time Machine,6.7,R
69,Killers,4.8,PG-13
70,Saw 3D,5.6,R
72,The Lovely Bones,6.6,PG-13
73,Cats & Dogs: The Revenge of Kitty Galore,3.1,PG
75,Gulliver's Travels,4.8,PG
77,Step Up 3D,5.3,PG-13
78,The Last Exorcism,5.8,PG-13
80,Crazy Heart,7.4,R
82,The Crazies,6.7,R
83,For Colored Girls,4.4,R
85,Vampires Suck,3.3,PG-13
87,Green Zone,7.1,R
89,Devil,6.5,PG-13
90,Hereafter,6.8,PG-13
92,Love and Other Drugs,6.6,R
93,She's Out of My League,6.6,R
94,Scott Pilgrim vs. the World,7.7,PG-13
95,Charlie St. Cloud,6.0,PG-13
97,How Do You Know,5.3,PG-13
98,Daybreakers,6.6,PG-13
100,The Switch,5.9,PG-13
