Position,Title,IMDB,Rating
1,Armageddon,6.3,PG-13
2,Saving Private Ryan,8.5,R
4,A Bug's Life,7.2,G
5,The Waterboy,5.7,PG-13
6,Doctor Dolittle,5.2,PG-13
7,Rush Hour,6.8,PG-13
8,Deep Impact,6.0,PG-13
9,Good Will Hunting,8.1,R
11,Patch Adams,6.3,PG-13
12,Lethal Weapon 4,6.5,R
13,The Truman Show,8.0,PG
14,Mulan,7.2,G
16,Enemy of the State,7.2,R
17,The Prince of Egypt,6.8,PG
18,The Rugrats Movie,5.4,G
20,Stepmom,6.2,PG-13
21,Antz,6.7,PG
22,The X Files,6.8,PG-13
23,The Wedding Singer,6.8,PG-13
24,City of Angels,6.4,PG-13
25,Everest,7.2,G
26,The Horse Whisperer,6.4,PG-13
27,Six Days Seven Nights,5.6,PG-13
28,Star Trek: Insurrection,6.3,PG
29,Blade,7.0,R
30,Lost in Space,4.8,PG-13
31,A Perfect Murder,6.4,R
32,The Parent Trap,6.2,PG
33,EverAfter,6.9,PG-13
34,Hope Floats,5.4,PG-13
35,U.S. Marshals,6.3,PG-13
36,Life Is Beautiful,8.5,PG-13
37,The Man in the Iron Mask,6.1,PG-13
38,Snake Eyes,5.9,R
39,What Dreams May Come,6.6,PG-13
40,Halloween H20: 20 Years Later,5.4,R
41,Small Soldiers,5.9,PG-13
42,Babe: Pig in the City,6.0,G
43,Mighty Joe Young,5.4,PG
44,Practical Magic,5.6,PG-13
45,Meet Joe Black,6.9,PG-13
46,The Negotiator,7.2,R
47,Wag the Dog,7.1,R
48,Ronin,7.2,R
49,The Siege,6.1,R
50,Mysteries of Egypt,6.3,G
