Position,Title,IMDB,Rating
1,Avengers: Endgame,8.7,
2,The Lion King,7.2,
3,Captain Marvel,7.1,
4,Toy Story 4,8.2,
5,Spider-Man: Far From Home,7.9,
6,Aladdin,7.4,
7,Us,7.2,
8,John Wick: Chapter 3 - Parabellum,8.0,
9,How to Train Your Dragon: The Hidden World,7.7,
10,The Secret Life of Pets 2,6.6,
11,Pokemon: Detective Pikachu,6.8,
12,Shazam!,7.4,
13,Dumbo,6.6,
14,Glass,7.0,
15,Godzilla: King of the Monsters,6.6,
16,The Upside,6.4,
17,The Lego Movie 2: The Second Part,6.9,
18,Rocketman,7.6,
19,Alita: Battle Angel,7.6,
20,Men in Black International,5.6,
21,Once Upon a Time in Hollywood,8.5,
22,A Madea Family Funeral,4.2,PG-13
23,Annabelle Comes Home,6.2,
24,Yesterday,7.0,
25,Dark Phoenix,6.0,
26,Fast & Furious Presents: Hobbs & Shaw,7.2,
27,Escape Room,6.4,
28,The Curse of La Llorona,5.7,
29,Pet Sematary,6.0,
30,What Men Want,4.6,
31,Isn't It Romantic,6.0,
32,Five Feet Apart,7.1,
33,Ma,5.9,
34,Wonder Park,5.7,PG
35,A Dog's Way Home,6.5,
36,Breakthrough,5.8,
37,Little,5.4,
38,Crawl,6.7,
39,The Intruder,5.4,
40,The Hustle,5.3,
41,Cold Pursuit,6.5,
42,Dragon Ball Super: Broly,8.1,
43,Long Shot,7.2,
44,Child's Play,6.3,
45,Happy Death Day 2U,6.5,
46,Midsommar,7.6,
47,On the Basis of Sex,6.6,PG-13
48,Fighting with My Family,7.5,PG-13
49,Booksmart,7.4,
50,A Dog's Journey,7.3,
51,Hellboy,5.4,
52,Stuber,6.2,
53,Shaft,6.4,
54,UglyDolls,4.5,
55,Unplanned,6.2,
56,Brightburn,6.4,
57,The Kid Who Would Be King,6.2,
58,Missing Link,7.0,
59,Late Night,6.5,
60,Miss Bala,5.1,
61,The Prodigy,6.0,
62,Poms,5.3,
63,After,5.6,
64,Greta,6.2,
65,The Best of Enemies,6.9,
66,Hotel Mumbai,7.8,
67,No Manches Frida 2,3.5,
68,Apollo 11,8.6,
69,Serenity,5.3,
70,Anna,6.6,
71,Penguins,6.8,
72,The Farewell,8.2,
73,The Dead Don't Die,6.0,
74,Run the Race,6.4,
75,Captive State,6.6,PG-13
76,The Wandering Earth,7.3,
77,Gloria Bell,6.6,
78,Stan & Ollie,7.6,
79,The Mustang,6.9,
80,The Sun Is Also a Star,5.5,
81,Tolkien,7.0,
82,Amazing Grace,7.8,
83,Pavarotti,7.7,
84,The Last Black Man in San Francisco,7.8,
85,The Biggest Little Farm,8.0,
86,Uri: The Surgical Strike,9.0,
88,The Beach Bum,6.2,
89,Everybody Knows,7.0,
90,Arctic,7.3,
91,The Art of Self-Defense,7.4,
92,The White Crow,6.5,
93,The Aftermath,6.3,
94,Red Joan,6.2,
95,Wild Rose,7.5,
96,The Kid,6.4,
97,All Is True,6.0,
98,The Souvenir,6.7,
