Position,Title,IMDB,Rating
1,Harry Potter and the Deathly Hallows: Part 2,8.2,PG-13
2,Transformers: Dark of the Moon,6.5,PG-13
3,The Twilight Saga: Breaking Dawn - Part 1,4.8,PG-13
4,The Hangover Part II,6.7,R
6,Fast Five,7.4,PG-13
7,Mission: Impossible - Ghost Protocol,7.4,PG-13
9,Sherlock Holmes: A Game of Shadows,7.5,PG-13
11,Rise of the Planet of the Apes,7.7,PG-13
12,Captain America: The First Avenger,7.0,PG-13
14,Bridesmaids,7.2,R
16,Puss in Boots,6.8,PG
18,Rio,7.1,G
20,Cowboys & Aliens,6.2,PG-13
21,Alvin and the Chipmunks: Chip-Wrecked,4.0,G
23,Rango,7.5,PG
25,Green Lantern,6.1,PG-13
27,Black Swan,8.4,R
29,Just Go with It,6.3,PG-13
30,The Girl with the Dragon Tattoo,8.0,R
32,Bad Teacher,5.7,R
33,Gnomeo & Juliet,5.7,G
34,Scream 4,6.5,R
35,The Muppets,7.6,PG
37,"Crazy, Stupid, Love.",7.6,PG-13
39,Battle: Los Angeles,5.9,PG-13
41,Zookeeper,4.7,PG
42,War Horse,7.2,PG-13
44,Tower Heist,6.3,PG-13
45,The Adventures of Tintin,7.5,PG
47,We Bought a Zoo,7.2,PG
48,Moneyball,7.7,PG-13
49,Jack and Jill,3.4,PG
50,Justin Bieber: Never Say Never,1.2,G
52,No Strings Attached,6.3,R
53,Mr. Popper's Penguins,5.9,PG
55,Happy Feet Two,5.9,NR
57,Unknown,7.0,PG-13
58,Water for Elephants,7.0,PG-13
60,Hanna,7.0,PG-13
62,Friends with Benefits,6.6,R
64,New Year's Eve,5.4,PG-13
65,I Am Number Four,6.3,PG-13
67,Madeas Big Happy Family,2.7,PG-13
69,Footloose,5.5,PG-13
71,Arthur Christmas,7.0,PG
73,The Artist,8.2,PG-13
75,Final Destination 5,6.1,R
77,Something Borrowed,5.5,PG-13
78,Spy Kids 4: All the Time in the World,3.1,PG
79,"Big Mommas: Like Father, Like Son",3.5,PG-13
81,In Time,6.5,PG-13
83,J. Edgar,6.9,R
85,Jumping the Broom,4.5,PG-13
87,The Change-Up,6.5,R
89,Sucker Punch,6.3,PG-13
90,Larry Crowne,6.0,PG-13
92,A Very Harold & Kumar 3D Christmas,6.5,R
93,50/50,7.9,PG-13
94,Courageous,6.5,PG-13
96,Arthur,5.7,PG-13
98,The Sitter,5.6,PG-13
100,Priest,5.7,PG-13
