Position,Title,IMDB,Rating
1,Independence Day,6.8,PG-13
2,Twister,6.0,PG-13
3,Mission: Impossible,6.9,PG-13
4,101 Dalmatians,5.4,G
5,Jerry Maguire,7.3,R
6,Ransom,6.6,R
7,The Rock,7.3,R
8,The Nutty Professor,5.7,PG-13
9,The Birdcage,6.6,R
10,A Time to Kill,7.1,R
11,The First Wives Club,5.6,PG
12,Phenomenon,6.3,PG
13,Scream,7.2,R
14,Eraser,5.9,R
15,The Hunchback of Notre Dame,6.6,G
16,Michael,5.5,PG
17,Star Trek: First Contact,7.6,PG-13
18,Space Jam,5.6,PG
19,Mr. Holland's Opus,7.1,PG
20,The English Patient,7.3,R
21,Broken Arrow,5.8,R
22,Executive Decision,6.3,R
23,Beavis and Butt-Head Do America,6.6,PG-13
24,Jingle All the Way,5.0,PG
25,The Cable Guy,5.9,PG-13
26,Courage Under Fire,6.6,R
27,Jack,5.3,PG-13
28,Twelve Monkeys,8.1,R
29,Primal Fear,7.6,R
30,Tin Cup,6.2,R
31,Sleepers,7.3,R
32,DragonHeart,6.2,PG-13
33,Up Close & Personal,5.8,PG-13
34,The Preacher's Wife,5.2,PG
35,Romeo + Juliet,6.9,PG-13
36,One Fine Day,6.2,PG
37,The Mirror Has Two Faces,6.1,PG-13
38,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,R
39,Dead Man Walking,7.7,R
40,Happy Gilmore,6.9,PG-13
41,The Ghost and the Darkness,6.6,R
42,Mars Attacks!,6.3,PG-13
43,Set It Off,6.3,R
44,Shine,7.6,PG-13
45,Diabolique,5.1,R
46,A Thin Line Between Love and Hate,4.9,R
47,The Truth About Cats & Dogs,6.3,PG-13
48,Muppet Treasure Island,6.6,G
49,The Long Kiss Goodnight,6.6,R
50,Matilda,6.6,PG
