Position,Title,IMDB,Rating
1,Rogue One: A Star Wars Story,8.0,PG-13
2,Finding Dory,7.7,PG
3,Captain America 3 Civil War,8.1,PG-13
4,The Secret Life of Pets,6.7,PG
5,The Jungle Book,7.7,PG
6,Deadpool,8.1,R
7,Zootopia,8.2,PG
8,Batman v Superman: Dawn of Justice,6.9,PG-13
9,Suicide Squad,6.6,PG-13
10,Sing,7.2,PG
11,Moana,7.8,PG
12,Fantastic Beasts and Where to Find Them,7.6,PG-13
13,Doctor Strange,7.7,PG-13
14,The Revenant,8.1,R
15,Jason Bourne,6.8,PG-13
16,Star Trek Beyond,7.2,PG-13
17,X-Men: Apocalypse,7.3,PG-13
18,Trolls,6.5,PG
19,La La Land,8.4,PG-13
20,Kung Fu Panda 3,7.3,PG
21,Ghostbusters,5.4,PG-13
22,Central Intelligence,6.4,PG-13
23,The Legend of Tarzan,6.4,PG-13
24,Sully,7.6,PG-13
25,Bad Moms,6.3,R
26,The Angry Birds Movie,6.3,PG
27,Independence Day: Resurgence,5.4,PG-13
28,The Conjuring 2,7.5,R
29,Arrival,8.1,PG-13
30,Passengers,7.0,PG-13
31,Sausage Party,6.5,R
32,The Magnificent Seven,7.0,PG-13
33,Ride Along 2,5.9,PG-13
34,Don't Breathe,7.3,R
35,Miss Peregrine's Home for Peculiar Children,6.8,PG-13
36,The Accountant,7.4,R
37,Teenage Mutant Ninja Turtles 2 Out of the Shadows,6.2,PG-13
38,The Purge: Election Year,6.0,R
39,Alice Through the Looking Glass,6.4,PG
40,Pete's Dragon,7.2,PG
41,The Girl on the Train,6.6,R
42,Boo! A Madea Halloween,4.7,PG-13
43,Storks,7.0,PG
44,10 Cloverfield Lane,7.3,PG-13
45,Lights Out,6.5,PG-13
46,Hacksaw Ridge,8.3,R
47,The Divergent Series: Allegiant,5.8,PG-13
48,Now You See Me 2,6.5,PG-13
49,Ice Age 5 Collision Course,5.7,PG
50,The Boss,5.3,R
51,London Has Fallen,5.9,R
52,Miracles from Heaven,6.8,PG
53,Deepwater Horizon,7.2,PG-13
54,Why Him?,6.3,R
55,My Big Fat Greek Wedding 2,6.1,PG-13
56,Jack Reacher 2 Never Go Back,6.1,PG-13
57,Fences,7.3,PG-13
58,Me Before You,7.5,PG-13
59,The BFG,6.6,PG
60,Neighbors 2 Sorority Rising,5.9,R
61,The Shallows,6.4,PG-13
62,Office Christmas Party,5.9,R
63,Assassin's Creed,6.0,PG-13
64,Barbershop 3 The Next Cut,5.9,PG-13
65,13 Hours: The Secret Soldiers of Benghazi,7.4,R
66,Kubo and the Two Strings,8.1,PG
67,The Huntsman Winter's War,6.1,PG-13
68,Manchester by the Sea,8.0,R
69,Warcraft,7.1,PG-13
70,How to Be Single,6.1,R
71,Mike and Dave Need Wedding Dates,6.1,R
72,War Dogs,7.2,R
73,Almost Christmas,6.0,PG-13
74,Money Monster,6.6,R
75,Allied,7.1,R
76,Nerve,6.7,PG-13
77,Risen,6.3,PG-13
78,The Nice Guys,7.5,R
79,The Boy,6.0,PG-13
80,Dirty Grandpa,6.0,R
81,The 5th Wave,5.2,PG-13
82,Ouija 2: Origin of Evil,6.2,PG-13
83,Inferno,6.2,PG-13
84,Mother's Day,5.5,PG-13
85,Gods of Egypt,5.6,PG-13
86,Collateral Beauty,6.7,PG-13
87,"Hail, Caesar!",6.4,PG-13
88,When the Bough Breaks,4.4,PG-13
89,Zoolander 2,4.8,PG-13
90,The Finest Hours,6.8,PG-13
91,Florence Foster Jenkins,7.1,PG-13
92,Hell or High Water,7.8,R
93,The Forest,4.8,PG-13
94,Ben-Hur,5.7,PG-13
95,Moonlight,7.7,R
96,The Witch,6.8,R
97,Bridget Jones's Baby,6.9,R
98,Kevin Hart: What Now?,5.7,R
99,Whiskey Tango Foxtrot,6.6,R
100,Snowden,7.4,R
