Position,Title,IMDB,Rating
1,Terminator 2: Judgment Day,8.5,R
2,Robin Hood: Prince of Thieves,6.7,PG-13
4,City Slickers,6.7,PG-13
5,Hook,6.2,PG
6,The Addams Family,6.6,PG-13
7,Sleeping with the Enemy,5.8,R
8,Father of the Bride,6.3,PG
9,The Naked Gun 2 1/2: The Smell of Fear,6.6,PG-13
10,Fried Green Tomatoes,7.4,PG-13
11,Cape Fear,7.3,R
12,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.4,PG
13,Backdraft,6.6,R
14,Star Trek VI: The Undiscovered Country,7.2,PG
15,The Prince of Tides,6.5,R
16,JFK,8.0,R
17,Hot Shots!,6.5,PG-13
18,What About Bob?,6.8,PG
19,My Girl,6.4,PG-13
20,The Last Boy Scout,6.7,R
21,Boyz n the Hood,7.8,R
23,Bugsy,6.8,R
24,New Jack City,6.2,R
25,The Rocketeer,6.2,PG
26,Thelma & Louise,7.3,R
27,Point Break,6.9,R
28,Regarding Henry,6.5,PG-13
29,The Fisher King,7.5,R
30,Out for Justice,5.4,R
31,The Doctor,6.6,PG-13
32,Bill & Ted's Bogus Journey,5.8,PG
33,Dead Again,6.9,R
34,Soapdish,6.2,PG-13
35,Other People's Money,5.9,R
36,The Doors,7.0,R
37,Freddy's Dead: The Final Nightmare,4.5,R
38,White Fang,6.5,PG
39,King Ralph,4.9,PG
40,Curly Sue,5.0,PG
41,Dying Young,5.5,R
42,Jungle Fever,6.4,R
43,Double Impact,5.0,R
44,Green Card,6.1,PG-13
45,L.A. Story,6.7,PG-13
46,Deceived,5.8,PG-13
47,Necessary Roughness,5.7,PG-13
48,The Hard Way,6.2,R
50,Don't Tell Mom the Babysitter's Dead,5.5,PG-13
