Position,Title,IMDB,Rating
1,The Hunger Games: Catching Fire,7.9,PG-13
2,Iron Man 3,7.5,PG-13
4,Despicable Me 2,7.6,PG
6,Monsters University,7.5,G
8,The Hobbit: The Desolation of Smaug,8.1,PG-13
9,Fast and Furious 6,7.2,PG-13
10,Oz The Great and Powerful,6.6,PG
12,Thor 2: The Dark World,7.3,PG-13
14,The Croods,7.3,PG
16,We're the Millers,7.1,R
18,The Great Gatsby,7.4,PG-13
20,Identity Thief,5.6,R
22,The Wolverine,6.9,PG-13
23,Anchorman 2: The Legend Continues,6.6,R
24,G.I. Joe: Retaliation,6.0,PG-13
26,Now You See Me,7.3,PG-13
28,The Butler,6.8,PG-13
30,Epic,6.6,PG
32,Bad Grandpa,6.7,R
34,This Is the End,7.0,R
36,Zero Dark Thirty,7.5,R
37,42,7.5,PG-13
39,Planes,5.5,PG
41,Oblivion,7.0,PG-13
42,Insidious Chapter 2,6.7,PG-13
43,Saving Mr. Banks,7.7,PG-13
45,2 Guns,6.8,R
47,Mama,6.3,PG-13
49,The Smurfs 2,5.2,PG
50,The Best Man Holiday,6.8,R
51,Percy Jackson: Sea of Monsters,5.9,PG
52,A Good Day to Die Hard,5.4,R
54,Jack the Giant Slayer,6.4,PG-13
56,Last Vegas,6.7,PG-13
58,Prisoners,8.1,R
60,The Secret Life of Walter Mitty,7.5,PG
61,Escape from Planet Earth,5.5,PG
63,Free Birds,5.8,PG
64,Hansel and Gretel: Witch Hunters,6.1,R
66,Red 2,6.7,PG-13
68,Temptation: Confessions of a Marriage Counselor,3.8,PG-13
70,Pain & Gain,6.6,R
72,The Internship,6.2,PG-13
73,Instructions Not Included,7.4,PG-13
75,Riddick,6.5,R
77,47 Ronin,6.4,PG-13
78,Philomena,7.7,PG-13
80,Walking with Dinosaurs 3D,5.1,PG
82,Texas Chainsaw 3D,4.8,R
83,R.I.P.D.,5.5,PG-13
84,Blue Jasmine,7.7,PG-13
85,Kevin Hart: Let Me Explain,6.2,R
87,Scary Movie 5,3.4,PG-13
88,The Mortal Instruments: City of Bones,6.0,PG-13
90,Grudge Match,6.6,PG-13
91,One Direction: This Is Us,3.5,PG
93,Dallas Buyers Club,8.0,R
95,The Host,5.7,PG-13
97,21 and Over,5.7,R
99,Don Jon,6.8,R
