Position,Title,IMDB,Rating
2,Mrs. Doubtfire,6.6,PG-13
4,The Firm,6.7,R
6,Indecent Proposal,5.4,R
7,In the Line of Fire,7.2,R
8,The Pelican Brief,6.4,PG-13
10,Cliffhanger,6.2,R
11,Free Willy,5.4,PG
12,Philadelphia,7.6,PG-13
14,Grumpy Old Men,6.8,PG-13
15,Cool Runnings,6.6,PG
16,Dave,6.8,PG-13
17,Rising Sun,6.1,R
19,Sister Act 2: Back in the Habit,4.7,PG
20,Tombstone,7.7,R
21,The Three Musketeers,6.1,PG
22,Rookie of the Year,5.4,PG
23,Beethoven's 2nd,4.3,PG
25,The Nightmare Before Christmas,8.0,PG
26,Sommersby,5.9,PG-13
27,Last Action Hero,5.9,PG-13
28,Addams Family Values,6.3,PG-13
29,Wayne's World 2,5.8,PG-13
30,Malice,6.2,R
31,Made in America,4.6,PG-13
32,The Good Son,6.1,R
33,The Beverly Hillbillies,4.3,PG
34,Teenage Mutant Ninja Turtles III,4.3,PG
35,Homeward Bound: The Incredible Journey,6.6,G
36,Falling Down,7.5,R
37,The Piano,7.5,R
38,Fortress,5.7,R
39,Hocus Pocus,6.0,PG
40,What's Love Got to Do with It,7.0,R
41,Hot Shots! Part Deux,6.3,PG-13
42,Carlito's Way,7.9,R
43,Alive,6.9,R
45,Sliver,4.6,R
46,Robin Hood: Men in Tights,6.3,PG-13
47,Dragon: The Bruce Lee Story,6.8,PG-13
48,The Joy Luck Club,7.3,R
49,Hard Target,5.8,R
