Position,Title,IMDB,Rating
2,Iron Man,7.9,PG-13
4,Hancock,6.5,PG-13
6,Kung Fu Panda,7.7,PG
8,Madagascar: Escape 2 Africa,6.8,PG
10,Horton Hears a Who!,7.2,G
11,Sex and the City,5.4,R
12,Mamma Mia!,6.4,PG-13
14,The Chronicles of Narnia: Prince Caspian,6.9,PG
16,Wanted,6.8,R
18,The Curious Case of Benjamin Button,8.0,PG-13
20,Bolt,7.4,PG
21,Tropic Thunder,7.2,R
23,The Mummy: Tomb of the Dragon Emperor,5.1,PG-13
25,Eagle Eye,6.6,PG-13
27,You Don't Mess with the Zohan,5.7,PG-13
29,"10,000 BC",4.9,PG-13
30,Beverly Hills Chihuahua,3.5,PG
32,High School Musical 3: Senior Year,3.8,G
34,Valkyrie,7.2,PG-13
36,What Happens in Vegas,6.0,PG-13
38,Cloverfield,7.4,PG-13
40,27 Dresses,6.0,PG-13
41,Hellboy II: The Golden Army,7.3,PG-13
42,Vantage Point,6.7,PG-13
44,Fool's Gold,5.4,PG-13
46,Role Models,7.1,R
47,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2.8,G
49,Forgetting Sarah Marshall,7.4,R
