Position,Title,IMDB,Rating
1,Spider-Man 3,6.4,PG-13
3,Transformers,7.3,PG-13
5,Harry Potter and the Order of the Phoenix,7.3,PG-13
7,The Bourne Ultimatum,8.2,PG-13
9,Alvin and the Chipmunks,5.3,PG
11,Ratatouille,8.1,G
13,Wild Hogs,6.0,PG-13
14,Knocked Up,7.5,R
16,Rush Hour 3,6.0,PG-13
18,Fantastic Four: Rise of the Silver Surfer,5.8,PG-13
20,Enchanted,7.5,PG
22,Superbad,7.8,R
24,Hairspray,7.2,PG
26,Ocean's Thirteen,6.9,PG-13
28,Evan Almighty,5.5,PG
29,Meet the Robinsons,6.9,G
31,The Game Plan,6.2,PG
33,Beowulf,6.4,PG-13
35,No Country for Old Men,8.3,R
37,1408,6.8,R
39,Charlie Wilson's War,7.3,R
41,Stomp the Yard,4.4,PG-13
43,Halloween,6.0,R
44,Why Did I Get Married?,4.4,PG-13
45,TMNT,6.6,PG
47,3:10 to Yuma,7.8,R
48,Sweeney Todd: The Demon Barber of Fleet Street,7.7,R
49,Music and Lyrics,6.6,PG-13
50,Are We Done Yet?,3.5,PG
