Position,Title,IMDB,Rating
1,Forrest Gump,8.6,PG-13
2,True Lies,7.2,R
3,The Santa Clause,6.1,PG
4,The Flintstones,4.6,PG
6,Clear and Present Danger,6.8,PG-13
7,Speed,7.2,R
8,The Mask,6.6,PG-13
9,Maverick,6.9,PG
10,Interview with the Vampire: The Vampire Chronicles,7.4,R
11,The Client,6.6,PG-13
12,Disclosure,5.9,R
13,Star Trek: Generations,6.4,PG
14,Ace Ventura: Pet Detective,6.7,PG-13
16,Wolf,6.0,R
17,The Specialist,4.9,R
18,Four Weddings and a Funeral,7.1,R
20,Naked Gun 33 1/3: The Final Insult,6.1,PG-13
21,The Crow,7.6,R
22,Natural Born Killers,7.1,R
23,Angels in the Outfield,5.6,PG
24,Little Women,7.1,PG
25,When a Man Loves a Woman,6.2,R
27,The River Wild,6.2,PG-13
28,D2: The Mighty Ducks,5.1,PG
29,Timecop,5.5,R
30,The Jungle Book,5.8,PG
31,City Slickers II: The Legend of Curly's Gold,5.2,PG-13
32,Beverly Hills Cop III,5.0,R
33,The Paper,6.4,R
34,On Deadly Ground,3.9,R
35,Richie Rich,4.7,PG
36,It Could Happen to You,6.2,PG
37,Junior,4.4,PG-13
38,Nell,6.3,PG-13
39,Street Fighter,3.3,PG-13
40,The Shadow,5.6,PG-13
41,I Love Trouble,5.0,PG
42,Major League II,4.9,PG
43,Blank Check,4.3,PG
44,Blown Away,5.9,R
45,A Low Down Dirty Shame,5.4,R
46,In the Army Now,4.3,PG
47,Drop Zone,5.3,R
48,The Shawshank Redemption,9.2,R
49,Guarding Tess,6.0,PG-13
50,I.Q.,6.0,PG
