Position,Title,IMDB,Rating
1,Star Wars: Episode I - The Phantom Menace,6.4,PG
2,The Sixth Sense,8.2,PG-13
3,Toy Story 2,8.0,G
4,Austin Powers: The Spy Who Shagged Me,6.6,PG-13
5,The Matrix,8.7,R
6,Tarzan,7.0,G
7,Big Daddy,6.1,PG-13
8,The Mummy,6.9,PG-13
9,Runaway Bride,5.2,PG
10,The Blair Witch Project,6.3,R
11,Stuart Little,5.9,PG
12,The Green Mile,8.4,R
13,American Beauty,8.5,R
14,The World Is Not Enough,6.3,PG-13
15,Double Jeopardy,6.0,R
16,Notting Hill,6.9,PG-13
17,Wild Wild West,4.3,PG-13
18,Analyze This,6.6,R
19,The General's Daughter,6.1,R
20,American Pie,6.9,R
21,Sleepy Hollow,7.5,R
22,Shakespeare in Love,7.4,R
23,Inspector Gadget,3.9,PG
24,The Haunting,4.6,PG-13
25,Entrapment,6.1,PG-13
26,Pocket Monsters: Mewtwo Strikes Back!,4.8,G
27,Payback,7.0,R
28,The Talented Mr. Ripley,7.2,R
29,Any Given Sunday,6.7,R
30,Deep Blue Sea,5.6,R
31,Galaxy Quest,7.2,PG
32,The Thomas Crown Affair,6.7,R
33,Blue Streak,6.0,PG-13
34,End of Days,5.5,R
35,The Bone Collector,6.3,R
36,Bowfinger,6.4,PG-13
37,Deuce Bigalow: Male Gigolo,5.6,R
38,Life,6.2,R
39,She's All That,5.5,PG-13
40,Three Kings,7.3,R
41,Fantasia/2000,7.3,G
42,Bicentennial Man,6.4,PG
43,A Civil Action,6.4,PG-13
44,Eyes Wide Shut,7.2,R
45,Never Been Kissed,5.7,PG-13
46,Varsity Blues,6.1,R
47,Forces of Nature,5.1,PG-13
48,Message in a Bottle,5.7,PG-13
49,South Park: Bigger Longer & Uncut,7.8,R
50,Stigmata,6.1,R
