Position,Title,IMDB,Rating
1,Avatar,7.8,PG-13
2,Transformers: Revenge of the Fallen,6.0,PG-13
3,Harry Potter and the Half-Blood Prince,7.3,PG
5,Up,8.4,PG
6,The Hangover,7.9,R
8,The Blind Side,7.7,PG-13
9,Alvin and the Chipmunks: The Squeakquel,4.1,PG
11,Monsters vs Aliens,6.8,PG
12,Ice Age: Dawn of the Dinosaurs,7.1,PG
13,X-Men Origins: Wolverine,6.7,PG-13
14,Night at the Museum: Battle of the Smithsonian,5.9,PG
16,The Proposal,6.7,PG-13
18,G.I. Joe: The Rise of Cobra,5.7,PG-13
20,Paul Blart: Mall Cop,5.3,PG-13
22,Slumdog Millionaire,8.3,R
23,A Christmas Carol,6.8,PG
25,Terminator Salvation,6.8,PG-13
27,Inglourious Basterds,8.4,R
29,District 9,8.3,R
30,It's Complicated,6.7,R
31,Couples Retreat,5.5,PG-13
32,Paranormal Activity,6.7,R
33,Watchmen,7.8,R
34,The Princess and the Frog,7.3,G
36,Julie & Julia,7.1,PG-13
37,He's Just Not That Into You,6.4,PG-13
39,The Ugly Truth,6.4,R
40,Up in the Air,7.8,R
42,Hannah Montana: The Movie,3.6,G
44,Zombieland,7.8,R
45,Coraline,7.8,PG
46,Law Abiding Citizen,7.2,R
48,This Is It,7.3,PG
50,Obsessed,4.5,PG-13
