Position,Title,IMDB,Rating
2,Night at the Museum,6.4,PG
3,Cars,7.5,G
4,X-Men: The Last Stand,6.9,PG-13
5,The Da Vinci Code,6.4,PG-13
7,Happy Feet,6.7,PG
8,Ice Age: The Meltdown,6.9,PG
10,The Pursuit of Happyness,7.8,PG-13
11,Over the Hedge,7.0,PG
12,Talladega Nights: The Ballad of Ricky Bobby,6.4,PG-13
13,Click,6.7,PG-13
14,Mission: Impossible III,6.9,PG-13
16,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhs,7.5,R
18,The Break-Up,5.8,PG-13
20,Scary Movie 4,5.0,PG-13
22,Inside Man,7.7,R
23,The Santa Clause 3: The Escape Clause,4.1,G
24,Open Season,6.1,PG
26,The Pink Panther,5.2,PG
27,MASH,7.6,R
29,Nacho Libre,5.7,PG
30,Saw III,6.2,R
31,"You, Me and Dupree",5.6,PG-13
33,Monster House,6.8,PG
34,Barnyard,5.5,PG
35,Runaway Vacation,5.5,PG
37,Rocky Balboa,7.4,PG
38,World Trade Center,6.2,PG-13
39,Big Momma's House 2,4.1,PG-13
41,Flushed Away,7.0,PG
43,Miami Vice,6.0,R
44,Madea's Family Reunion,4.2,PG-13
46,The Fast and the Furious: Tokyo Drift,5.6,PG-13
48,The Shaggy Dog,4.2,PG
50,The Good Shepherd,6.8,R
