Position,Title,IMDB,Rating
1,Harry Potter and the Sorcerer's Stone,7.2,PG
2,The Lord of the Rings: The Fellowship of the Ring,8.8,PG-13
4,"Monsters, Inc.",8.0,G
5,Rush Hour 2,6.5,PG-13
7,Pearl Harbor,5.4,PG-13
8,Ocean's Eleven,7.6,PG-13
10,Planet of the Apes,5.5,PG-13
11,Hannibal,6.5,R
13,The Fast and the Furious,6.0,PG-13
14,Lara Croft: Tomb Raider,5.4,PG-13
16,Dr. Dolittle 2,4.5,PG
18,The Princess Diaries,5.9,G
20,The Others,7.8,PG-13
21,Legally Blonde,6.2,PG-13
23,Cats & Dogs,5.2,PG
24,Save the Last Dance,5.9,PG-13
25,Atlantis: The Lost Empire,6.5,G
26,Jimmy Neutron: Boy Genius,5.9,G
27,Artificial Intelligence: AI,7.0,PG-13
28,Training Day,7.6,R
29,Along Came a Spider,6.2,R
31,Chocolat,7.3,PG-13
32,Scary Movie 2,4.7,R
33,The Score,6.8,R
35,Swordfish,6.3,R
36,The Mexican,6.0,R
37,Down to Earth,5.1,PG-13
38,Spy Game,6.9,R
39,The Wedding Planner,4.8,PG-13
40,Behind Enemy Lines,6.2,PG-13
41,Ali,6.6,R
42,Moulin Rouge!,7.7,PG-13
43,Rat Race,6.4,PG-13
45,The Animal,4.6,PG-13
47,Blow,7.4,R
48,The Royal Tenenbaums,7.6,R
49,Exit Wounds,5.3,R
50,Enemy at the Gates,7.4,R
