Position,Title,IMDB,Rating
1,The Lord of the Rings: The Return of the King,8.8,PG-13
2,Finding Nemo,8.1,G
3,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,PG-13
4,The Matrix Reloaded,7.1,R
6,X-Men 2,7.5,PG-13
8,Chicago,7.2,PG-13
9,Terminator 3: Rise of the Machines,6.6,R
11,Cheaper by the Dozen,5.6,PG
13,Anger Management,6.1,PG-13
14,Bringing Down the House,5.4,PG-13
15,Hulk,5.7,PG-13
16,2 Fast 2 Furious,5.3,PG-13
18,Seabiscuit,7.4,PG-13
20,Spy Kids 3-D: Game Over,4.1,PG
21,The Last Samurai,7.8,R
22,Freaky Friday,6.5,PG
23,Scary Movie 3,5.4,PG-13
24,The Italian Job,6.9,PG-13
25,How to Lose a Guy in 10 Days,6.1,PG-13
27,Daddy Day Care,5.5,PG
28,Charlie's Angels: Full Throttle,4.7,PG-13
30,Cold Mountain,7.3,R
31,Master and Commander: The Far Side of the World,7.5,PG-13
32,Mystic River,8.0,R
33,"Legally Blonde 2: Red, White & Blonde",4.3,PG-13
34,Brother Bear,6.6,G
35,Freddy vs. Jason,5.8,R
37,The Texas Chainsaw Massacre,6.1,R
38,The Haunted Mansion,4.8,PG
40,Kill Bill: Vol. 1,8.2,R
41,Holes,7.1,PG
42,Kangaroo Jack,4.1,PG
43,The League of Extraordinary Gentlemen,5.5,PG-13
44,Lara Croft Tomb Raider: The Cradle of Life,5.2,PG-13
45,Mona Lisa Smile,6.1,PG-13
46,Shanghai Knights,6.2,PG-13
47,Bad Santa,7.2,R
49,Love Actually,7.9,R
50,Open Range,7.5,R
