Ranking,Title,IMDB,Rating,Year
6,Transformers Age Of Extinction,6.2,PG-13,2014
6,American Sniper,7.4,R,2015
6,Deadpool,8.1,R,2016
6,Spider-Man: Homecoming,7.9,PG-13,2017
6,Deadpool 2,7.9,R,2018
6,Shazam!,7.4,,2019
7,Sleeping with the Enemy,5.8,R,1991
7,The Bodyguard,5.5,R,1992
7,In the Line of Fire,7.2,R,1993
7,Speed,7.2,R,1994
7,The Rock,7.3,R,1996
7,Batman & Robin,3.6,PG-13,1997
7,Rush Hour,6.8,PG-13,1998
7,Meet the Parents,7.1,PG-13,2000
7,Pearl Harbor,5.4,PG-13,2001
7,Austin Powers in Goldmember,6.1,PG-13,2002
7,Charlie and the Chocolate Factory,7.1,PG,2005
7,Happy Feet,6.7,PG,2006
7,The Bourne Ultimatum,8.2,PG-13,2007
7,Mission: Impossible - Ghost Protocol,7.4,PG-13,2011
7,The Amazing Spider-Man,7.3,PG-13,2012
7,Minions,6.5,PG,2015
7,Zootopia,8.2,PG,2016
7,It,7.9,R,2017
7,The Grinch,6.4,PG,2018
7,Pokemon: Detective Pikachu,7.0,,2019
8,Die Hard 2,7.0,R,1990
8,Father of the Bride,6.3,PG,1991
8,Wayne's World,6.9,PG-13,1992
8,The Pelican Brief,6.4,PG-13,1993
8,The Mask,6.6,PG-13,1994
8,Die Hard: With a Vengeance,7.4,R,1995
8,The Nutty Professor,5.7,PG-13,1996
8,My Best Friend's Wedding,6.2,PG-13,1997
8,Deep Impact,6.0,PG-13,1998
8,The Mummy,6.9,PG-13,1999
8,Ocean's Eleven,7.6,PG-13,2001
8,Chicago,7.2,PG-13,2003
8,The Bourne Supremacy,7.6,PG-13,2004
8,Batman Begins,8.3,PG-13,2005
8,Ice Age: The Meltdown,6.9,PG,2006
8,Madagascar: Escape 2 Africa,6.8,PG,2008
8,The Blind Side,7.7,PG-13,2009
8,Despicable Me,7.5,PG,2010
8,The Hobbit: The Desolation of Smaug,8.1,PG-13,2013
8,X-Men: Days of Future Past,8.3,PG-13,2014
8,The Hunger Games: Mockingjay Part 2,6.7,PG-13,2015
8,Batman v Superman: Dawn of Justice,6.9,PG-13,2016
8,Mission: Impossible - Fallout,8.1,PG-13,2018
8,John Wick: Chapter 3 - Parabellum,8.1,,2019
9,Driving Miss Daisy,7.5,PG,1990
9,The Naked Gun 2 1/2: The Smell of Fear,6.6,PG-13,1991
9,Basic Instinct,6.9,R,1992
9,Maverick,6.9,PG,1994
9,GoldenEye,7.2,PG-13,1995
9,The Birdcage,6.6,R,1996
9,Tomorrow Never Dies,6.4,PG-13,1997
9,Good Will Hunting,8.1,R,1998
9,Runaway Bride,5.2,PG,1999
9,Scary Movie,6.0,R,2000
9,Ice Age,7.4,PG,2002
9,Terminator 3: Rise of the Machines,6.6,R,2003
9,Madagascar,6.6,PG,2005
9,Alvin and the Chipmunks,5.3,PG,2007
9,Alvin and the Chipmunks: The Squeakquel,4.1,PG,2009
9,Sherlock Holmes: A Game of Shadows,7.5,PG-13,2011
9,Ted,7.2,R,2012
9,Fast and Furious 6,7.2,PG-13,2013
9,Big Hero 6,8.0,PG,2014
9,The Martian,8.1,PG-13,2015
9,Suicide Squad,6.6,PG-13,2016
9,Despicable Me 3,6.3,PG,2017
9,Ant-Man and the Wasp,7.4,PG-13,2018
9,Dumbo,6.6,,2019
10,Dick Tracy,6.0,PG,1990
10,Fried Green Tomatoes,7.4,PG-13,1991
10,A League of Their Own,7.0,PG,1992
10,Cliffhanger,6.2,R,1993
10,Interview with the Vampire: The Vampire Chronicles,7.4,R,1994
10,Crimson Tide,7.2,R,1995
10,Face/Off,7.3,R,1997
10,The Blair Witch Project,6.3,R,1999
10,What Lies Beneath,6.5,PG-13,2000
10,Planet of the Apes,5.5,PG-13,2001
10,A Beautiful Mind,8.0,PG-13,2002
10,Shark Tale,5.9,PG,2004
10,Mr. & Mrs. Smith,6.4,PG-13,2005
10,The Pursuit of Happyness,7.8,PG-13,2006
10,Horton Hears a Who!,7.2,G,2008
10,How to Train Your Dragon,8.2,PG,2010
10,Madagascar 3: Europe's Most Wanted,7.0,PG,2012
10,Oz The Great and Powerful,6.6,PG,2013
10,Cinderella,7.2,PG,2015
10,Sing,7.2,PG,2016
11,Cape Fear,7.3,R,1991
11,The Hand That Rocks the Cradle,6.3,R,1992
11,Free Willy,5.4,PG,1993
11,The Client,6.6,PG-13,1994
11,Waterworld,5.7,PG-13,1995
11,The First Wives Club,5.6,PG,1996
11,Patch Adams,6.3,PG-13,1998
11,Stuart Little,5.9,PG,1999
11,Hannibal,6.5,R,2001
11,Cheaper by the Dozen,5.6,PG,2003
11,Over the Hedge,7.0,PG,2006
11,Ratatouille,8.1,G,2007
11,Sex and the City,5.4,R,2008
11,Monsters vs Aliens,6.8,PG,2009
11,Rise of the Planet of the Apes,7.7,PG-13,2011
11,The Amazing Spider-Man 2,7.1,PG-13,2014
11,Spectre,6.9,PG-13,2015
11,Logan,8.2,R,2017
11,A Star Is Born,8.3,R,2018
11,The Upside,6.4,,2019
12,Back to the Future Part III,7.2,PG,1990
12,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,5.4,PG,1991
12,Under Siege,6.3,R,1992
12,Philadelphia,7.6,PG-13,1993
12,Disclosure,5.9,R,1994
12,Dangerous Minds,5.9,R,1995
12,Phenomenon,6.3,PG,1996
12,Scream 2,5.9,R,1997
12,Lethal Weapon 4,6.5,R,1998
12,"Crouching Tiger, Hidden Dragon",8.0,PG-13,2000
12,Die Another Day,6.0,PG-13,2002
12,Troy,7.0,R,2004
12,The Longest Yard,6.2,PG-13,2005
12,Talladega Nights: The Ballad of Ricky Bobby,6.4,PG-13,2006
12,Mamma Mia!,6.4,PG-13,2008
12,Ice Age: Dawn of the Dinosaurs,7.1,PG,2009
12,TRON: Legacy,7.1,PG,2010
12,Captain America: The First Avenger,7.0,PG-13,2011
12,Wreck-It Ralph,7.9,PG,2012
12,Thor 2: The Dark World,7.3,PG-13,2013
12,Mission: Impossible 5 Rogue Nation,7.6,PG-13,2015
12,Fantastic Beasts and Where to Find Them,7.6,PG-13,2016
12,The Fate of the Furious,6.9,PG-13,2017
12,Solo: A Star Wars Story,7.1,PG-13,2018
12,The Lego Movie 2: The Second Part,6.9,,2019
13,Presumed Innocent,6.8,R,1990
13,Backdraft,6.6,R,1991
13,Star Trek: Generations,6.4,PG,1994
13,While You Were Sleeping,6.5,PG,1995
13,Scream,7.2,R,1996
13,Con Air,6.6,R,1997
13,The Truman Show,8.0,PG,1998
13,American Beauty,8.5,R,1999
13,Erin Brockovich,7.2,R,2000
13,The Fast and the Furious,6.0,PG-13,2001
13,Anger Management,6.1,PG-13,2003
13,Fantastic Four,5.7,PG-13,2005
13,Click,6.7,PG-13,2006
13,Wild Hogs,6.0,PG-13,2007
13,X-Men Origins: Wolverine,6.7,PG-13,2009
13,22 Jump Street,7.7,R,2014
13,Coco,9.0,PG,2017
13,Venom,7.0,,2018
13,Alita: Battle Angel,7.6,,2019
14,Days of Thunder,5.5,PG-13,1990
14,Star Trek VI: The Undiscovered Country,7.2,PG,1991
14,Dracula,7.3,R,1992
14,Grumpy Old Men,6.8,PG-13,1993
14,Ace Ventura: Pet Detective,6.7,PG-13,1994
14,Father of the Bride Part II,5.5,PG,1995
14,Eraser,5.9,R,1996
14,Contact,7.4,PG,1997
14,Mulan,7.2,G,1998
14,Lara Croft: Tomb Raider,5.4,PG-13,2001
14,Lilo & Stitch,7.1,G,2002
14,Bringing Down the House,5.4,PG-13,2003
14,50 First Dates,6.8,PG-13,2004
14,Chicken Little,5.8,G,2005
14,Mission: Impossible III,6.9,PG-13,2006
14,Knocked Up,7.5,R,2007
14,The Chronicles of Narnia: Prince Caspian,6.9,PG,2008
14,Night at the Museum: Battle of the Smithsonian,5.9,PG,2009
14,Clash of the Titans,5.9,PG-13,2010
14,Bridesmaids,7.2,R,2011
14,Men in Black III,7.0,PG-13,2012
14,The Croods,7.3,PG,2013
14,Ant-Man,7.7,PG-13,2015
14,The Revenant,8.1,R,2016
14,Dunkirk,8.4,PG-13,2017
14,Ralph Breaks the Internet,7.3,,2018
14,A Madea Family Funeral,4.2,PG-13,2019
15,Another 48 Hrs.,5.5,R,1990
15,The Prince of Tides,6.5,R,1991
15,White Men Can't Jump,6.4,R,1992
15,Cool Runnings,6.6,PG,1993
15,Congo,4.6,PG-13,1995
15,The Hunchback of Notre Dame,6.6,G,1996
15,Hercules,6.8,G,1997
15,Double Jeopardy,6.0,R,1999
15,Nutty Professor II: The Klumps,4.3,PG-13,2000
15,Traffic,7.8,R,2001
15,Hulk,5.7,PG-13,2003
15,Robots,6.4,PG,2005
15,Interstellar,8.8,PG-13,2014
15,Home,6.7,PG,2015
15,Jason Bourne,6.8,PG-13,2016
15,Get Out,7.8,R,2017
15,Spider-Man: Into the Spider-Verse,8.7,,2018
15,Escape Room,6.4,,2019
16,3 Men and a Little Lady,4.7,PG,1990
16,JFK,8.0,R,1991
16,The Last of the Mohicans,7.8,R,1992
16,Dave,6.8,PG-13,1993
16,Wolf,6.0,R,1994
16,Braveheart,8.4,R,1995
16,Michael,5.5,PG,1996
16,Flubber,4.6,PG,1997
16,Enemy of the State,7.2,R,1998
16,Notting Hill,6.9,PG-13,1999
16,Big Momma's House,4.8,PG-13,2000
