Ranking,Title,IMDB,Rating,Year
28,Kiss the Girls,6.4,R,1997
28,Star Trek: Insurrection,6.3,PG,1998
28,The Talented Mr. Ripley,7.2,R,1999
28,Rugrats in Paris,5.7,G,2000
28,Training Day,7.6,R,2001
28,Two Weeks Notice,5.8,PG-13,2002
28,Charlie's Angels: Full Throttle,4.7,PG-13,2003
28,Scooby Doo 2: Monsters Unleashed,4.8,PG,2004
28,The Dukes of Hazzard,4.8,PG-13,2005
28,Evan Almighty,5.5,PG,2007
28,Due Date,6.8,R,2010
28,Magic Mike,6.2,R,2012
28,The Butler,6.8,PG-13,2013
28,Mr. Peabody & Sherman,7.0,PG,2014
28,The Conjuring 2,7.5,R,2016
28,Girls Trip,6.9,R,2017
28,Creed II,7.3,,2018
28,Cold Pursuit,6.5,,2019
29,RoboCop 2,5.4,R,1990
29,The Fisher King,7.5,R,1991
29,My Cousin Vinny,7.4,R,1992
29,Wayne's World 2,5.8,PG-13,1993
29,Timecop,5.5,R,1994
29,Species,5.6,R,1995
29,Primal Fear,7.6,R,1996
29,Jungle 2 Jungle,4.6,PG,1997
29,Blade,7.0,R,1998
29,Any Given Sunday,6.7,R,1999
29,Along Came a Spider,6.2,R,2001
29,Red Dragon,7.3,R,2002
29,Anchorman: The Legend of Ron Burgundy,7.1,R,2004
29,March of the Penguins,7.8,G,2005
29,Nacho Libre,5.7,PG,2006
29,Meet the Robinsons,6.9,G,2007
29,"10,000 BC",4.9,PG-13,2008
29,District 9,8.3,R,2009
29,Yogi Bear,4.2,PG,2010
29,Just Go with It,6.3,PG-13,2011
29,Creed,7.8,PG-13,2015
29,Arrival,8.1,PG-13,2016
29,Pitch Perfect 3,6.2,PG-13,2017
29,Peter Rabbit,6.3,PG,2018
29,Dragon Ball Super: Broly,8.1,,2019
30,Young Guns II,6.0,PG-13,1990
30,Out for Justice,5.4,R,1991
30,Sneakers,7.0,PG-13,1992
30,Malice,6.2,R,1993
30,The Jungle Book,5.8,PG,1994
30,Sabrina,6.0,PG,1995
30,Tin Cup,6.2,R,1996
30,Spawn,4.9,R,1997
30,Lost in Space,4.8,PG-13,1998
30,Hollow Man,5.5,R,2000
30,Cold Mountain,7.3,R,2003
30,Saw III,6.2,R,2006
30,Beverly Hills Chihuahua,3.5,PG,2008
30,It's Complicated,6.7,R,2009
30,The Girl with the Dragon Tattoo,8.0,R,2011
30,Journey 2: The Mysterious Island,5.7,PG,2012
30,Epic,6.6,PG,2013
30,The Maze Runner,7.0,PG-13,2014
30,Tomorrowland,6.6,PG,2015
30,Daddy's Home 2,6.2,PG-13,2017
30,The Mule,7.2,,2018
30,Long Shot,7.2,,2019
31,Gremlins 2: The New Batch,6.1,PG-13,1990
31,The Doctor,6.6,PG-13,1991
31,The Mighty Ducks,5.9,PG,1992
31,Made in America,4.6,PG-13,1993
31,City Slickers II: The Legend of Curly's Gold,5.2,PG-13,1994
31,Assassins,6.0,R,1995
31,Sleepers,7.3,R,1996
31,A Perfect Murder,6.4,R,1998
31,Galaxy Quest,7.2,PG,1999
31,Chocolat,7.3,PG-13,2001
31,Spy Kids 2: Island of Lost Dreams,5.3,PG,2002
31,Master and Commander: The Far Side of the World,7.5,PG-13,2003
31,AVP: Alien vs. Predator,5.4,PG-13,2004
31,The Ring Two,5.1,R,2005
31,"You, Me and Dupree",5.6,PG-13,2006
31,The Game Plan,6.2,PG,2007
31,The Bucket List,7.5,PG-13,2008
31,Couples Retreat,5.5,PG-13,2009
31,The Social Network,8.2,PG-13,2010
31,Sausage Party,6.5,R,2016
31,Baby Driver,8.0,R,2017
31,The Equalizer 2,7.0,R,2018
31,Happy Death Day 2U,6.5,,2019
32,Rocky V,4.5,PG-13,1990
32,Bill & Ted's Bogus Journey,5.8,PG,1991
32,Malcolm X,7.7,PG-13,1992
32,The Good Son,6.1,R,1993
32,Beverly Hills Cop III,5.0,R,1994
32,Something to Talk About,5.5,R,1995
32,DragonHeart,6.2,PG-13,1996
32,Starship Troopers,7.1,R,1997
32,The Parent Trap,6.2,PG,1998
32,The Thomas Crown Affair,6.7,R,1999
32,The Kid,5.9,PG,2000
32,Scary Movie 2,4.7,R,2001
32,About a Boy,7.2,PG-13,2002
32,Mystic River,8.0,R,2003
32,The Exorcism of Emily Rose,6.8,PG-13,2005
32,High School Musical 3: Senior Year,3.8,G,2008
32,Paranormal Activity,6.7,R,2009
32,Sex and the City 2,4.0,R,2010
32,Bad Teacher,5.7,R,2011
32,Flight,7.3,PG-13,2012
32,Bad Grandpa,6.7,R,2013
32,The Equalizer,7.3,R,2014
32,Terminator Genisys,6.7,PG-13,2015
32,The Magnificent Seven,7.0,PG-13,2016
32,Murder on the Orient Express,6.8,PG-13,2017
32,A Wrinkle in Time,4.2,PG,2018
32,Rocketman,7.7,,2019
33,Joe Versus the Volcano,5.4,PG,1990
33,Dead Again,6.9,R,1991
33,Single White Female,6.2,R,1992
33,The Beverly Hillbillies,4.3,PG,1993
33,The Paper,6.4,R,1994
33,Under Siege 2: Dark Territory,5.1,R,1995
33,Up Close & Personal,5.8,PG-13,1996
33,Austin Powers: International Man of Mystery,7.0,PG-13,1997
33,EverAfter,6.9,PG-13,1998
33,Blue Streak,6.0,PG-13,1999
33,Road Trip,6.4,R,2000
33,The Score,6.8,R,2001
33,Space Station 3D,7.3,,2002
33,"Legally Blonde 2: Red, White & Blonde",4.3,PG-13,2003
33,The Terminal,7.1,PG-13,2004
33,Four Brothers,6.8,R,2005
33,Monster House,6.8,PG,2006
33,Beowulf,6.4,PG-13,2007
33,Watchmen,7.8,R,2009
33,Gnomeo & Juliet,5.7,G,2011
33,Think Like a Man,5.8,PG-13,2012
33,Taken 3,6.1,PG-13,2015
33,Ride Along 2,5.9,PG-13,2016
33,Kingsman: The Golden Circle,7.2,R,2017
33,Fifty Shades Freed,4.4,R,2018
33,On the Basis of Sex,6.6,PG-13,2019
34,Postcards from the Edge,6.5,R,1990
34,Soapdish,6.2,PG-13,1991
34,The Distinguished Gentleman,5.7,R,1992
34,Teenage Mutant Ninja Turtles III,4.3,PG,1993
34,On Deadly Ground,3.9,R,1994
34,A Walk in the Clouds,6.3,PG-13,1995
34,The Preacher's Wife,5.2,PG,1996
34,Breakdown,6.8,R,1997
34,Hope Floats,5.4,PG-13,1998
34,End of Days,5.5,R,1999
34,Blade II,6.6,R,2002
34,Brother Bear,6.6,G,2003
34,Garfield,4.8,PG,2004
34,Barnyard,5.5,PG,2006
34,Valkyrie,7.2,PG-13,2008
34,The Princess and the Frog,7.3,G,2009
34,The Fighter,8.0,R,2010
34,Scream 4,6.5,R,2011
34,This Is the End,7.0,R,2013
34,Non-Stop,7.1,PG-13,2014
34,Sisters,6.1,R,2015
34,Don't Breathe,7.3,R,2016
34,Annabelle: Creation,6.9,R,2017
34,Rampage,6.2,PG-13,2018
34,Fighting with My Family,7.5,PG-13,2019
35,Mermaids,6.4,PG-13,1990
35,Other People's Money,5.9,R,1991
35,Medicine Man,5.7,PG-13,1992
35,Homeward Bound: The Incredible Journey,6.6,G,1993
35,Richie Rich,4.7,PG,1994
35,Clueless,6.7,PG-13,1995
35,Romeo + Juliet,6.9,PG-13,1996
35,Evita,6.1,PG,1997
35,U.S. Marshals,6.3,PG-13,1998
35,The Bone Collector,6.3,R,1999
35,Bring It On,5.9,PG-13,2000
35,Swordfish,6.3,R,2001
35,Snow Dogs,4.9,PG,2002
35,Freddy vs. Jason,5.8,R,2003
35,Ray,7.8,PG-13,2004
35,The Interpreter,6.5,PG-13,2005
35,Runaway Vacation,5.5,PG,2006
35,No Country for Old Men,8.3,R,2007
35,The Muppets,7.6,PG,2011
35,The Expendables 2,7.1,R,2012
35,Heaven Is for Real,5.6,PG,2014
35,Alvin and the Chipmunks: The Road Chip,4.6,PG,2015
35,Miss Peregrine's Home for Peculiar Children,6.8,PG-13,2016
35,Blade Runner 2049,,R,2017
35,Christopher Robin,7.7,PG,2018
35,Hellboy,5.4,,2019
36,Darkman,6.3,R,1990
36,The Doors,7.0,R,1991
36,Passenger 57,5.6,R,1992
36,Falling Down,7.5,R,1993
36,It Could Happen to You,6.2,PG,1994
36,The Brady Bunch Movie,5.6,PG-13,1995
36,One Fine Day,6.2,PG,1996
36,Absolute Power,6.6,R,1997
36,Life Is Beautiful,8.5,PG-13,1998
36,Bowfinger,6.4,PG-13,1999
36,102 Dalmatians,4.5,G,2000
36,The Mexican,6.0,R,2001
36,We Were Soldiers,7.0,R,2002
36,Ladder 49,6.5,PG-13,2004
36,Sideways,7.8,R,2005
36,V for Vendetta,8.2,R,2006
36,What Happens in Vegas,6.0,PG-13,2008
36,Julie & Julia,7.1,PG-13,2009
36,Prince of Persia: The Sands of Time,6.8,PG-13,2010
36,Zero Dark Thirty,7.5,R,2013
36,The Imitation Game,8.1,PG-13,2014
36,Maze Runner 2: Scorch Trials,6.4,PG-13,2015
36,The Accountant,7.4,R,2016
36,John Wick: Chapter 2,7.9,R,2017
36,Green Book,8.3,,2018
36,UglyDolls,4.6,,2019
37,Air America,5.4,R,1990
37,Freddy's Dead: The Final Nightmare,4.5,R,1991
37,A River Runs Through It,7.1,PG,1992
37,The Piano,7.5,R,1993
37,Junior,4.4,PG-13,1994
37,The Net,5.6,PG-13,1995
37,The Mirror Has Two Faces,6.1,PG-13,1996
37,The Man in the Iron Mask,6.1,PG-13,1998
37,Deuce Bigalow: Male Gigolo,5.6,R,1999
37,Rules of Engagement,6.2,R,2000
37,Down to Earth,5.1,PG-13,2001
37,The Texas Chainsaw Massacre,6.1,R,2003
37,Sahara,5.9,PG-13,2005
37,Rocky Balboa,7.4,PG,2006
37,1408,6.8,R,2007
37,He's Just Not That Into You,6.4,PG-13,2009
37,Red,7.1,PG-13,2010
37,"Crazy, Stupid, Love.",7.6,PG-13,2011
37,Jack Reacher,7.0,PG-13,2012
37,42,7.5,PG-13,2013
37,Ted 2,6.6,R,2015
37,Teenage Mutant Ninja Turtles 2 Out of the Shadows,6.2,PG-13,2016
37,The Emoji Movie,2.1,PG,2017
37,I Can Only Imagine,7.6,PG,2018
37,A Dog's Journey,7.3,,2019
38,Pacific Heights,6.2,R,1990
38,White Fang,6.5,PG,1991
38,Stop! Or My Mom Will Shoot,3.6,PG-13,1992
38,Fortress,5.7,R,1993
38,Nell,6.3,PG-13,1994
38,Sense and Sensibility,7.7,PG,1995
38,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,R,1996
38,G.I. Jane,5.6,R,1997
38,Snake Eyes,5.9,R,1998
38,Life,6.2,R,1999
38,Spy Game,6.9,R,2001
38,The Rookie,6.9,G,2002
38,The Haunted Mansion,4.8,PG,2003
38,White Chicks,5.0,PG-13,2004
38,World Trade Center,6.2,PG-13,2006
38,Cloverfield,7.4,PG-13,2008
38,Percy Jackson & the Olympians: The Lightning Thief,5.8,PG,2010
38,Dark Shadows,6.4,PG-13,2012
38,Annie,5.1,PG,2014
38,Goosebumps,6.4,PG,2015
38,The Purge: Election Year,6.0,R,2016
38,Power Rangers,6.2,PG-13,2017
38,Smallfoot,6.8,PG,2018
38,Ma,7.0,,2019
39,Child's Play 2,5.2,R,1990
39,King Ralph,4.9,PG,1991
39,Encino Man,5.2,PG,1992
39,Hocus Pocus,6.0,PG,1993
39,Street Fighter,3.3,PG-13,1994
39,Casino,8.1,R,1995
39,Dead Man Walking,7.7,R,1996
39,Speed 2: Cruise Control,3.5,PG-13,1997
39,What Dreams May Come,6.6,PG-13,1998
39,She's All That,5.5,PG-13,1999
39,Mission to Mars,5.2,PG,2000
39,The Wedding Planner,4.8,PG-13,2001
39,Barbershop,6.1,PG-13,2002
39,Hidalgo,6.6,PG-13,2004
39,Coach Carter,7.1,PG-13,2005
39,Big Momma's House 2,4.1,PG-13,2006
39,Charlie Wilson's War,7.3,R,2007
39,The Ugly Truth,6.4,R,2009
39,Battle: Los Angeles,5.9,PG-13,2011
39,Planes,5.5,PG,2013
39,Pixels,5.7,PG-13,2015
39,Alice Through the Looking Glass,6.4,PG,2016
39,Ferdinand,6.8,PG,2017
39,The Post,7.4,PG-13,2018
39,Unplanned,6.2,,2019
40,Predator 2,6.0,R,1990
40,Curly Sue,5.0,PG,1991
40,Mo' Money,5.1,R,1992
40,What's Love Got to Do with It,7.0,R,1993
40,The Shadow,5.6,PG-13,1994
40,Man of the House,4.3,PG,1995
40,Happy Gilmore,6.9,PG-13,1996
40,Alien: Resurrection,6.2,R,1997
40,Halloween H20: 20 Years Later,5.4,R,1998
40,Three Kings,7.3,R,1999
40,Behind Enemy Lines,6.2,PG-13,2001
40,Spirit: Stallion of the Cimarron,6.6,G,2002
40,Kill Bill: Vol. 1,8.2,R,2003
40,Herbie Fully Loaded,4.7,G,2005
40,27 Dresses,6.0,PG-13,2008
40,Up in the Air,7.8,R,2009
40,Unstoppable,6.9,PG-13,2010
40,John Carter,6.8,PG-13,2012
40,Annabelle,5.5,R,2014
40,Paddington,7.3,PG,2015
40,Pete's Dragon,7.2,PG,2016
40,The Kid Who Would Be King,6.2,,2019
41,The Rescuers Down Under,6.7,G,1990
41,Dying Young,5.5,R,1991
41,Hot Shots! Part Deux,6.3,PG-13,1993
41,I Love Trouble,5.0,PG,1994
41,Nobody's Fool,7.3,R,1995
41,The Ghost and the Darkness,6.6,R,1996
41,Volcano,5.2,PG-13,1997
41,Small Soldiers,5.9,PG-13,1998
41,Fantasia/2000,7.3,G,1999
41,Snow Day,4.5,PG,2000
41,Ali,6.6,R,2001
41,John Q,6.7,PG-13,2002
41,Holes,7.1,PG,2003
41,Big Fish,8.1,PG-13,2004
41,Flushed Away,7.0,PG,2006
41,Stomp the Yard,4.4,PG-13,2007
41,Hellboy II: The Golden Army,7.3,PG-13,2008
41,Knowing,6.4,PG-13,2009
41,IMAX: Hubble 3D,7.9,G,2010
41,Zookeeper,4.7,PG,2011
41,Oblivion,7.0,PG-13,2013
41,The Intern,7.2,PG-13,2015
41,The Girl on the Train,6.6,R,2016
41,Alien Covenant,6.6,R,2017
41,The First Purge,5.3,R,2018
41,Missing Link,7.0,,2019
42,Internal Affairs,6.4,R,1990
42,Jungle Fever,6.4,R,1991
42,Honeymoon in Vegas,5.8,PG-13,1992
42,Carlito's Way,7.9,R,1993
42,Major League II,4.9,PG,1994
42,French Kiss,6.3,PG-13,1995
42,Mars Attacks!,6.3,PG-13,1996
42,The Full Monty,7.2,R,1997
42,Babe: Pig in the City,6.0,G,1998
42,Bicentennial Man,6.4,PG,1999
42,The Cider House Rules,7.5,PG-13,2000
42,Moulin Rouge!,7.7,PG-13,2001
42,Divine Secrets of the Ya-Ya Sisterhood,5.5,PG-13,2002
42,Kangaroo Jack,4.1,PG,2003
42,Kill Bill: Vol. 2,8.0,R,2004
42,Sky High,6.6,PG,2005
42,Vantage Point,6.7,PG-13,2008
42,Hannah Montana: The Movie,3.6,G,2009
42,War Horse,7.2,PG-13,2011
42,This Is 40,6.2,R,2012
42,Insidious Chapter 2,6.7,PG-13,2013
42,The Other Woman,6.1,PG-13,2014
42,Bridge of Spies,7.7,PG-13,2015
42,Boo! A Madea Halloween,4.7,PG-13,2016
42,Captain Underpants: The First Epic Movie,6.3,PG,2017
42,Game Night,7.4,R,2018
42,Miss Bala,5.1,,2019
43,Cadillac Man,5.4,R,1990
43,Double Impact,5.0,R,1991
43,Grand Canyon,6.8,R,1992
43,Alive,6.9,R,1993
43,Blank Check,4.3,PG,1994
43,Higher Learning,6.2,R,1995
43,Set It Off,6.3,R,1996
43,The Rainmaker,6.9,PG-13,1997
43,Mighty Joe Young,5.4,PG,1998
43,A Civil Action,6.4,PG-13,1999
43,The Whole Nine Yards,6.6,R,2000
43,Rat Race,6.4,PG-13,2001
43,Insomnia,7.3,R,2002
43,The League of Extraordinary Gentlemen,5.5,PG-13,2003
43,The Manchurian Candidate,6.7,R,2004
43,Jarhead,7.2,R,2005
43,Miami Vice,6.0,R,2006
43,Halloween,6.0,R,2007
43,Dear John,5.9,PG-13,2010
43,Saving Mr. Banks,7.7,PG-13,2013
43,The Penguins of Madagascar,6.7,PG,2014
43,A Bad Moms Christmas,5.8,R,2017
43,The House with a Clock in its Walls,6.2,PG,2018
43,The Prodigy,6.0,,2019
44,Memphis Belle,6.8,PG-13,1990
44,Green Card,6.1,PG-13,1991
44,Sleepwalkers,4.6,R,1992
44,Blown Away,5.9,R,1994
44,Mighty Morphin Power Rangers: The Movie,4.0,PG,1995
44,Shine,7.6,PG-13,1996
44,Practical Magic,5.6,PG-13,1998
44,Eyes Wide Shut,7.2,R,1999
44,Next Friday,5.4,R,2000
44,Lara Croft Tomb Raider: The Cradle of Life,5.2,PG-13,2003
44,Barbershop 2: Back in Business,5.4,PG-13,2004
44,Madea's Family Reunion,4.2,PG-13,2006
44,Why Did I Get Married?,4.4,PG-13,2007
44,Fool's Gold,5.4,PG-13,2008
44,Zombieland,7.8,R,2009
44,Tower Heist,6.3,PG-13,2011
44,Looper,7.7,R,2012
44,Let's Be Cops,6.7,R,2014
44,The Big Short,7.8,R,2015
44,10 Cloverfield Lane,7.3,PG-13,2016
44,The Hitman's Bodyguard,7.0,R,2017
44,Book Club,6.1,PG-13,2018
44,Booksmart,7.6,,2019
45,House Party,5.8,R,1990
45,L.A. Story,6.7,PG-13,1991
45,3 Ninjas,4.7,PG,1992
45,Sliver,4.6,R,1993
45,A Low Down Dirty Shame,5.4,R,1994
45,First Knight,5.6,PG-13,1995
45,Diabolique,5.1,R,1996
45,Cop Land,6.9,R,1997
45,Meet Joe Black,6.9,PG-13,1998
45,Never Been Kissed,5.7,PG-13,1999
45,Shanghai Noon,6.6,PG-13,2000
45,The Animal,4.6,PG-13,2001
45,About Schmidt,7.2,R,2002
45,Mona Lisa Smile,6.1,PG-13,2003
45,Miracle,7.4,PG,2004
45,Cinderella Man,8.0,PG-13,2005
45,TMNT,6.6,PG,2007
45,Coraline,7.8,PG,2009
45,Knight and Day,6.5,PG-13,2010
45,The Adventures of Tintin,7.5,PG,2011
45,Madea's Witness Protection,3.7,PG-13,2012
45,2 Guns,6.8,R,2013
45,War Room,6.3,PG,2015
45,Lights Out,6.5,PG-13,2016
45,A Dog's Purpose,6.5,PG,2017
45,Skyscraper,6.0,PG-13,2018
45,Brightburn,6.5,,2019
46,Jacob's Ladder,7.5,R,1990
46,Deceived,5.8,PG-13,1991
46,Final Analysis,5.6,R,1992
46,Robin Hood: Men in Tights,6.3,PG-13,1993
46,In the Army Now,4.3,PG,1994
46,Just Cause,6.2,R,1995
46,A Thin Line Between Love and Hate,4.9,R,1996
46,Nothing to Lose,6.5,R,1997
46,The Negotiator,7.2,R,1998
46,Varsity Blues,6.1,R,1999
46,Shanghai Knights,6.2,PG-13,2003
46,Friday Night Lights,7.2,PG-13,2004
46,The Family Stone,6.3,PG-13,2005
46,The Fast and the Furious: Tokyo Drift,5.6,PG-13,2006
46,Role Models,7.1,R,2008
46,Law Abiding Citizen,7.2,R,2009
46,Battleship,6.0,PG-13,2012
46,Hercules,6.3,PG-13,2014
46,Magic Mike XXL,5.8,R,2015
46,Hacksaw Ridge,8.3,R,2016
46,The Shape of Water,8.2,R,2017
46,Insidious: The Last Key,5.8,PG-13,2018
46,Poms,5.2,,2019
47,Necessary Roughness,5.7,PG-13,1991
47,The Muppet Christmas Carol,7.4,G,1992
47,Dragon: The Bruce Lee Story,6.8,PG-13,1993
47,Drop Zone,5.3,R,1994
47,"To Wong Foo Thanks for Everything, Julie Newmar",5.7,PG-13,1995
47,The Truth About Cats & Dogs,6.3,PG-13,1996
47,Amistad,7.1,R,1997
47,Wag the Dog,7.1,R,1998
47,Forces of Nature,5.1,PG-13,1999
47,Final Destination,6.8,R,2000
47,Blow,7.4,R,2001
47,The Time Machine,5.7,PG-13,2002
47,Bad Santa,7.2,R,2003
47,The Stepford Wives,5.1,PG-13,2004
47,Red Eye,6.5,PG-13,2005
47,3:10 to Yuma,7.8,R,2007
47,Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,2.8,G,2008
47,The Tourist,5.9,PG-13,2010
47,We Bought a Zoo,7.2,PG,2011
47,Mama,6.3,PG-13,2013
47,The Purge Anarchy,6.6,R,2014
47,The Visit,6.2,PG-13,2015
47,The Divergent Series: Allegiant,5.8,PG-13,2016
47,The LEGO Ninjago Movie,6.3,PG,2017
47,Instant Family,7.6,,2018
47,After,5.6,,2019
48,Navy Seals,5.1,R,1990
48,The Hard Way,6.2,R,1991
48,The Lawnmower Man,5.1,R,1992
48,The Joy Luck Club,7.3,R,1993
48,The Shawshank Redemption,9.2,R,1994
48,The Indian in the Cupboard,5.7,PG,1995
48,Muppet Treasure Island,6.6,G,1996
48,Soul Food,6.4,TV-MA,1997
48,Ronin,7.2,R,1998
48,Message in a Bottle,5.7,PG-13,1999
48,Finding Forrester,7.2,PG-13,2000
48,The Royal Tenenbaums,7.6,R,2001
48,Drumline,5.3,PG-13,2002
48,Hellboy,6.8,PG-13,2004
48,Memoirs of a Geisha,7.1,PG-13,2005
48,The Shaggy Dog,4.2,PG,2006
48,Sweeney Todd: The Demon Barber of Fleet Street,7.7,R,2007
48,This Is It,7.3,PG,2009
48,Moneyball,7.7,PG-13,2011
48,Chronicle,7.1,PG-13,2012
48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,PG,2014
48,Baywatch,5.6,R,2017
48,Blockers,6.3,R,2018
48,Greta,6.2,,2019
49,Ernest Goes to Jail,4.9,PG,1990
49,Howards End,7.4,PG,1992
49,Hard Target,5.8,R,1993
49,Guarding Tess,6.0,PG-13,1994
49,A Goofy Movie,6.6,G,1995
49,The Long Kiss Goodnight,6.6,R,1996
49,The Devil's Own,5.9,R,1997
49,The Siege,6.1,R,1998
49,South Park: Bigger Longer & Uncut,7.8,R,1999
49,The Road to El Dorado,6.5,PG,2000
49,Exit Wounds,5.3,R,2001
49,The Count of Monte Cristo,7.6,PG-13,2002
49,Love Actually,7.9,R,2003
49,Dawn of the Dead,7.4,R,2004
49,Music and Lyrics,6.6,PG-13,2007
49,Forgetting Sarah Marshall,7.4,R,2008
49,Skyline,4.5,PG-13,2010
49,Jack and Jill,3.4,PG,2011
49,The Smurfs 2,5.2,PG,2013
49,Think Like a Man Too,5.6,PG-13,2014
49,Black Mass,7.0,R,2015
49,Ice Age 5 Collision Course,5.7,PG,2016
49,The Shack,6.3,PG-13,2017
49,Pacific Rim Uprising,5.9,PG-13,2018
49,The Best of Enemies,6.9,,2019
50,Ghost Dad,4.0,PG,1990
50,Don't Tell Mom the Babysitter's Dead,5.5,PG-13,1991
50,Candyman,6.5,R,1992
50,I.Q.,6.0,PG,1994
50,Money Train,5.3,R,1995
50,Matilda,6.6,PG,1996
50,Donnie Brasco,7.8,R,1997
50,Mysteries of Egypt,6.3,G,1998
50,Stigmata,6.1,R,1999
50,The Hurricane,7.4,R,2000
50,Enemy at the Gates,7.4,R,2001
50,Open Range,7.5,R,2003
50,Without a Paddle,5.7,PG-13,2004
50,Be Cool,5.6,PG-13,2005
50,The Good Shepherd,6.8,R,2006
50,Are We Done Yet?,3.5,PG,2007
50,Obsessed,4.5,PG-13,2009
50,Justin Bieber: Never Say Never,1.2,G,2011
50,Hope Springs,6.4,PG-13,2012
50,The Best Man Holiday,6.8,R,2013
50,Exodus: Gods and Kings,6.1,PG-13,2014
50,The Boss,5.3,R,2016
50,Darkest Hour,7.0,PG-13,2017
50,Hotel Mumbai,7.8,,2019
51,The Sorcerer's Apprentice,6.3,PG,2010
51,Underworld Awakening,6.4,R,2012
51,Percy Jackson: Sea of Monsters,5.9,PG,2013
51,The Nut Job,5.8,PG,2014
51,The Perfect Guy,5.5,PG-13,2015
51,London Has Fallen,5.9,R,2016
51,Happy Death Day,6.6,PG-13,2017
51,Tomb Raider,6.8,PG-13,2018
51,No Manches Frida 2,3.5,,2019
52,No Strings Attached,6.3,R,2011
52,A Good Day to Die Hard,5.4,R,2013
52,Joy,6.6,PG-13,2015
52,Miracles from Heaven,6.8,PG,2016
52,"Three Billboards Outside Ebbing, Missouri",8.5,R,2017
52,The Nutcracker and the Four Realms,5.6,,2018
52,Apollo 11,8.6,,2019
53,The Last Song,4.3,PG,2010
53,Mr. Popper's Penguins,5.9,PG,2011
53,The Dictator,6.6,R,2012
53,Son of God,5.4,PG-13,2014
53,Fantastic Four,4.2,PG-13,2015
53,Deepwater Horizon,7.2,PG-13,2016
53,Lion,8.1,PG-13,2017
53,Tag,6.6,R,2018
53,Serenity,5.3,,2019
54,Jack the Giant Slayer,6.4,PG-13,2013
54,Planes: Fire & Rescue,5.8,PG,2014
54,The Hateful Eight,7.9,R,2015
54,Why Him?,6.3,R,2016
54,American Made,7.3,R,2017
54,A Simple Favor,7.2,,2018
54,Penguins,6.8,,2019
55,Get Him to the Greek,6.6,R,2010
55,Happy Feet Two,5.9,NR,2011
55,American Reunion,7.0,R,2012
55,RoboCop,6.4,PG-13,2014
55,Focus,6.6,R,2015
55,My Big Fat Greek Wedding 2,6.1,PG-13,2016
55,Life of the Party,5.5,PG-13,2018
55,Run the Race,6.4,,2019
56,Resident Evil: Afterlife,5.9,R,2010
56,ParaNorman,7.2,PG,2012
56,Last Vegas,6.7,PG-13,2013
56,The Grand Budapest Hotel,8.3,R,2014
56,Southpaw,7.6,R,2015
56,Jack Reacher 2 Never Go Back,6.1,PG-13,2016
56,Lady Bird,7.9,R,2017
56,Captive State,6.6,PG-13,2019
57,Why Did I Get Married Too?,3.0,PG-13,2010
57,Unknown,7.0,PG-13,2011
57,Insidious: Chapter 3,6.2,PG-13,2015
57,Fences,7.3,PG-13,2016
57,The Dark Tower,6.0,PG-13,2017
57,Overboard,5.9,PG-13,2018
57,The Wandering Earth,7.3,,2019
58,Water for Elephants,7.0,PG-13,2011
58,Project X,6.7,R,2012
58,Prisoners,8.1,R,2013
58,Horrible Bosses 2,6.4,R,2014
58,Selma,7.6,PG-13,2015
58,Me Before You,7.5,PG-13,2016
58,Boo 2! A Madea Halloween,3.1,PG-13,2017
58,Sicario: Day of the Soldado,7.3,R,2018
58,Gloria Bell,6.6,,2019
59,Secretariat,7.1,PG,2010
59,The Hundred-Foot Journey,7.5,PG,2014
59,Poltergeist,5.0,PG-13,2015
59,The BFG,6.6,PG,2016
59,I Feel Pretty,5.2,PG-13,2018
59,Stan & Ollie,7.6,,2019
60,Hanna,7.0,PG-13,2011
60,Paranormal Activity 4,4.4,R,2012
60,The Secret Life of Walter Mitty,7.5,PG,2013
60,No Good Deed,5.6,PG-13,2014
60,Neighbors 2 Sorority Rising,5.9,R,2016
60,The Great Wall,6.1,PG-13,2017
60,BlacKkKlansman,7.8,R,2018
60,The Mustang,7.4,,2019
61,Takers,5.8,PG-13,2010
61,Escape from Planet Earth,5.5,PG,2013
61,Muppets Most Wanted,6.9,PG,2014
61,Sicario,7.7,R,2015
61,The Shallows,6.4,PG-13,2016
61,Going in Style,6.7,PG-13,2017
61,Vice,7.1,,2018
61,The Sun Is Also a Star,5.5,,2019
62,Legend of the Guardians: The Owls of Ga'Hoole,7.0,PG,2010
62,Friends with Benefits,6.6,R,2011
62,Ghost Rider: Spirit of Vengeance,4.5,PG-13,2012
62,The Man from U.N.C.L.E.,7.3,PG-13,2015
62,Office Christmas Party,5.9,R,2016
62,Smurfs: The Lost Village,5.9,PG,2017
62,Red Sparrow,6.7,R,2018
62,Tolkien,7.0,,2019
63,Free Birds,5.8,PG,2013
63,Jack Ryan: Shadow Recruit,6.5,PG-13,2014
63,Spotlight,8.1,R,2015
63,Assassin's Creed,6.0,PG-13,2016
63,All Eyez on Me,5.8,R,2017
63,Goosebumps 2: Haunted Halloween,6.0,,2018
63,Amazing Grace,7.7,,2019
64,Letters to Juliet,6.3,PG,2010
64,New Year's Eve,5.4,PG-13,2011
64,The Grey,6.9,R,2012
