Position,Title,IMDB,Rating
1,Star Wars Episode VII The Force Awakens,8.3,PG-13
2,Jurassic World,7.2,PG-13
3,The Avengers 2: Age of Ultron,7.8,PG-13
5,Furious 7,7.5,PG-13
6,American Sniper,7.4,R
7,Minions,6.5,PG
8,The Hunger Games: Mockingjay Part 2,6.7,PG-13
9,The Martian,8.1,PG-13
10,Cinderella,7.2,PG
11,Spectre,6.9,PG-13
12,Mission: Impossible 5 Rogue Nation,7.6,PG-13
14,Ant-Man,7.7,PG-13
15,Home,6.7,PG
16,Hotel Transylvania 2,6.8,PG
17,Fifty Shades of Grey,4.2,R
18,SpongeBob SquarePants 2 Sponge Out of Water,6.4,PG
19,Straight Outta Compton,8.2,R
21,Mad Max: Fury Road,8.3,R
22,Daddy's Home,6.2,PG-13
23,The Peanuts Movie,7.2,G
24,Insurgent,6.5,PG-13
25,Kingsman: The Secret Service,7.7,R
26,The Good Dinosaur,6.8,PG
27,Spy,7.2,R
29,Creed,7.8,PG-13
30,Tomorrowland,6.6,PG
32,Terminator Genisys,6.7,PG-13
33,Taken 3,6.1,PG-13
34,Sisters,6.1,R
35,Alvin and the Chipmunks: The Road Chip,4.6,PG
36,Maze Runner 2: Scorch Trials,6.4,PG-13
37,Ted 2,6.6,R
38,Goosebumps,6.4,PG
39,Pixels,5.7,PG-13
40,Paddington,7.3,PG
41,The Intern,7.2,PG-13
42,Bridge of Spies,7.7,PG-13
44,The Big Short,7.8,R
45,War Room,6.3,PG
46,Magic Mike XXL,5.8,R
47,The Visit,6.2,PG-13
49,Black Mass,7.0,R
51,The Perfect Guy,5.5,PG-13
52,Joy,6.6,PG-13
53,Fantastic Four,4.2,PG-13
54,The Hateful Eight,7.9,R
55,Focus,6.6,R
56,Southpaw,7.6,R
57,Insidious: Chapter 3,6.2,PG-13
58,Selma,7.6,PG-13
59,Poltergeist,5.0,PG-13
61,Sicario,7.7,R
62,The Man from U.N.C.L.E.,7.3,PG-13
63,Spotlight,8.1,R
64,McFarland USA,7.5,PG
65,The Gift,7.3,R
66,Everest,7.1,PG-13
67,The Night Before,6.6,R
68,Max,6.9,PG
69,Krampus,6.4,PG-13
70,The Age of Adaline,7.3,PG-13
71,Brooklyn,7.5,PG-13
72,The Longest Ride,7.2,PG-13
74,Pan,5.9,PG
75,Concussion,7.1,PG-13
76,Hot Pursuit,5.0,PG-13
77,The DUFF,6.6,PG-13
78,Woman in Gold,7.4,PG-13
79,The Second Best Exotic Marigold Hotel,6.6,PG
80,Entourage,6.8,R
81,Paper Towns,6.5,PG-13
82,Chappie,7.0,R
83,Unfriended,5.6,R
84,Crimson Peak,6.7,R
85,A Walk in the Woods,6.3,R
86,Point Break,5.3,PG-13
87,Sinister 2,5.3,R
88,The Last Witch Hunter,6.0,PG-13
89,No Escape,6.8,R
90,Ricki and the Flash,6.1,PG-13
91,The Woman in Black 2: Angel of Death,5.0,PG-13
92,Run All Night,6.6,R
93,Love the Coopers,5.7,PG-13
94,The Lazarus Effect,5.2,PG-13
96,In the Heart of the Sea,7.0,PG-13
97,The Gallows,4.3,R
98,Hitman Agent 47,5.8,R
99,Project Almanac,6.3,PG-13
100,Black or White,6.4,PG-13
