Position,Title,IMDB,Rating
1,Aladdin,7.9,G
2,Home Alone 2: Lost in New York,5.9,PG
3,Batman Returns,6.9,PG-13
4,Lethal Weapon 3,6.5,R
5,A Few Good Men,7.6,R
6,Sister Act,5.9,PG
7,The Bodyguard,5.5,R
8,Wayne's World,6.9,PG-13
9,Basic Instinct,6.9,R
10,A League of Their Own,7.0,PG
11,The Hand That Rocks the Cradle,6.3,R
12,Under Siege,6.3,R
13,Patriot Games,6.9,R
14,Dracula,7.3,R
15,White Men Can't Jump,6.4,R
16,The Last of the Mohicans,7.8,R
17,Unforgiven,8.3,R
18,Boomerang,5.1,R
19,Scent of a Woman,7.8,R
20,The Crying Game,7.3,R
21,Far and Away,6.3,PG-13
22,Honey I Blew Up the Kid,4.3,PG
23,HouseSitter,5.7,PG
24,Death Becomes Her,6.0,PG-13
25,Unlawful Entry,6.0,R
26,Beethoven,5.3,PG
27,Forever Young,6.0,PG
28,Alien 3,6.4,R
29,My Cousin Vinny,7.4,R
30,Sneakers,7.0,PG-13
31,The Mighty Ducks,5.9,PG
32,Malcolm X,7.7,PG-13
33,Single White Female,6.2,R
34,The Distinguished Gentleman,5.7,R
35,Medicine Man,5.7,PG-13
36,Passenger 57,5.6,R
37,A River Runs Through It,7.1,PG
38,Stop! Or My Mom Will Shoot,3.6,PG-13
39,Encino Man,5.2,PG
40,Mo' Money,5.1,R
41,Universal Soldier,5.6,R
42,Honeymoon in Vegas,5.8,PG-13
43,Grand Canyon,6.8,R
44,Sleepwalkers,4.6,R
45,3 Ninjas,4.7,PG
46,Final Analysis,5.6,R
47,The Muppet Christmas Carol,7.4,G
48,The Lawnmower Man,5.1,R
49,Howards End,7.4,PG
50,Candyman,6.5,R
