Position,Title,IMDB,Rating
1,Star Wars: Episode VIII - The Last Jedi,7.6,PG-13
2,Beauty and the Beast,7.4,PG
3,Wonder Woman,7.7,PG-13
4,Jumanji: Welcome to the Jungle,7.3,PG-13
5,Guardians of the Galaxy Vol 2,8.0,PG-13
6,Spider-Man: Homecoming,7.9,PG-13
7,It,7.9,R
8,Thor: Ragnarok,8.2,PG-13
9,Despicable Me 3,6.3,PG
10,Justice League,7.2,PG-13
11,Logan,8.2,R
12,The Fate of the Furious,6.9,PG-13
13,Coco,9.0,PG
14,Dunkirk,8.4,PG-13
15,Get Out,7.8,R
16,The Lego Batman Movie,7.5,PG
17,The Greatest Showman,8.0,PG
18,The Boss Baby,6.4,PG
19,Pirates of the Caribbean: Dead Men Tell No Tales,7.0,PG-13
20,Hidden Figures,7.9,PG
21,Kong: Skull Island,6.8,PG-13
22,Cars 3,7.0,G
23,War for the Planet of the Apes,7.8,PG-13
24,Split,7.3,PG-13
25,Wonder,8.1,PG
26,Transformers: The Last Knight,5.2,PG-13
27,Fifty Shades Darker,4.6,R
28,Girls Trip,6.9,R
29,Pitch Perfect 3,6.2,PG-13
30,Daddy's Home 2,6.2,PG-13
31,Baby Driver,8.0,R
32,Murder on the Orient Express,6.8,PG-13
33,Kingsman: The Golden Circle,7.2,R
34,Annabelle: Creation,6.9,R
35,Blade Runner 2049,NA,R
36,John Wick: Chapter 2,7.9,R
37,The Emoji Movie,2.1,PG
38,Power Rangers,6.2,PG-13
39,Ferdinand,6.8,PG
40,The Mummy,5.6,PG-13
41,Alien Covenant,6.6,R
42,Captain Underpants: The First Epic Movie,6.3,PG
43,A Bad Moms Christmas,5.8,R
44,The Hitman's Bodyguard,7.0,R
45,A Dog's Purpose,6.5,PG
46,The Shape of Water,8.2,R
47,The LEGO Ninjago Movie,6.3,PG
48,Baywatch,5.6,R
49,The Shack,6.3,PG-13
50,Darkest Hour,7.0,PG-13
51,Happy Death Day,6.6,PG-13
52,"Three Billboards Outside Ebbing, Missouri",8.5,R
53,Lion,8.1,PG-13
54,American Made,7.3,R
55,Atomic Blonde,7.1,R
56,Lady Bird,7.9,R
57,The Dark Tower,6.0,PG-13
58,Boo 2! A Madea Halloween,3.1,PG-13
59,Snatched,4.0,R
60,The Great Wall,6.1,PG-13
61,Going in Style,6.7,PG-13
62,Smurfs: The Lost Village,5.9,PG
63,All Eyez on Me,5.8,R
64,xXx: Return of Xander Cage,5.3,PG-13
65,47 Meters Down,5.8,PG-13
66,The Star,5.7,PG
67,Ghost in the Shell,6.5,PG-13
68,Valerian and the City of a Thousand Planets,6.7,PG-13
69,The Big Sick,7.9,R
70,King Arthur: Legend of the Sword,7.0,PG-13
71,Jigsaw,6.1,R
72,American Assassin,6.7,R
73,The Foreigner,7.2,R
74,"Everything, Everything",6.3,PG-13
75,Wind River,8.0,R
76,Geostorm,5.5,PG-13
77,Monster Trucks,5.6,PG
78,Fist Fight,5.7,R
79,How to Be a Latin Lover,5.7,PG-13
80,Patriots Day,7.4,R
81,Kidnap,6.0,R
82,Underworld Blood Wars,5.9,R
83,The Mountain Between Us,6.2,PG-13
84,Life,6.7,R
85,Logan Lucky,7.3,PG-13
86,Rings,4.5,PG-13
87,Home Again,5.7,PG-13
88,Resident Evil: The Final Chapter,5.6,R
89,The Nut Job 2: Nutty by Nature,4.6,PG
90,The House,5.5,R
91,All the Money in the World,7.2,R
92,Gifted,7.7,PG-13
93,Downsizing,5.9,R
94,The Bye Bye Man,4.2,PG-13
95,Victoria and Abdul,6.8,PG-13
96,Rough Night,5.2,R
97,My Little Pony: The Movie,7.0,PG
98,Leap!,6.8,PG
99,The Disaster Artist,8.0,R
100,Sleepless,5.6,R
