Position,Title,IMDB,Rating
1,Spider-Man,7.4,PG-13
2,The Lord of the Rings: The Two Towers,8.7,PG-13
3,Star Wars: Episode II - Attack of the Clones,6.8,PG
4,Harry Potter and the Chamber of Secrets,7.1,PG
5,My Big Fat Greek Wedding,6.6,PG
7,Austin Powers in Goldmember,6.1,PG-13
9,Ice Age,7.4,PG
10,A Beautiful Mind,8.0,PG-13
12,Die Another Day,6.0,PG-13
14,Lilo & Stitch,7.1,G
16,The Santa Clause 2,5.5,G
17,Minority Report,7.7,PG-13
19,Sweet Home Alabama,5.8,PG-13
20,Mr. Deeds,5.6,PG-13
21,The Bourne Identity,7.7,PG-13
22,The Sum of All Fears,6.4,PG-13
24,Black Hawk Down,7.7,R
26,Panic Room,6.9,R
28,Two Weeks Notice,5.8,PG-13
29,Red Dragon,7.3,R
31,Spy Kids 2: Island of Lost Dreams,5.3,PG
32,About a Boy,7.2,PG-13
33,Space Station 3D,7.3,
34,Blade II,6.6,R
35,Snow Dogs,4.9,PG
36,We Were Soldiers,7.0,R
38,The Rookie,6.9,G
39,Barbershop,6.1,PG-13
40,Spirit: Stallion of the Cimarron,6.6,G
41,John Q,6.7,PG-13
42,Divine Secrets of the Ya-Ya Sisterhood,5.5,PG-13
43,Insomnia,7.3,R
45,About Schmidt,7.2,R
47,The Time Machine,5.7,PG-13
48,Drumline,5.3,PG-13
49,The Count of Monte Cristo,7.6,PG-13
