Position,Title,IMDB,Rating
2,Spider-Man 2,7.7,PG-13
3,The Passion of the Christ,7.1,R
4,Meet the Fockers,6.4,PG-13
6,Harry Potter and the Prisoner of Azkaban,7.7,PG
8,The Bourne Supremacy,7.6,PG-13
10,Shark Tale,5.9,PG
12,Troy,7.0,R
14,50 First Dates,6.8,PG-13
16,Fahrenheit 9/11,7.5,R
17,Lemony Snicket's A Series of Unfortunate Events,6.9,PG
18,Dodgeball: A True Underdog Story,6.6,PG-13
19,The Village,6.6,PG-13
21,The Aviator,7.6,PG-13
22,Collateral,7.8,R
23,The Princess Diaries 2: Royal Engagement,5.3,G
24,Starsky & Hutch,6.2,PG-13
26,Mean Girls,7.0,PG-13
27,The SpongeBob SquarePants Movie,6.9,PG
28,Scooby Doo 2: Monsters Unleashed,4.8,PG
29,Anchorman: The Legend of Ron Burgundy,7.1,R
31,AVP: Alien vs. Predator,5.4,PG-13
33,The Terminal,7.1,PG-13
34,Garfield,4.8,PG
35,Ray,7.8,PG-13
36,Ladder 49,6.5,PG-13
38,White Chicks,5.0,PG-13
39,Hidalgo,6.6,PG-13
41,Big Fish,8.1,PG-13
42,Kill Bill: Vol. 2,8.0,R
43,The Manchurian Candidate,6.7,R
44,Barbershop 2: Back in Business,5.4,PG-13
45,Miracle,7.4,PG
46,Friday Night Lights,7.2,PG-13
47,The Stepford Wives,5.1,PG-13
48,Hellboy,6.8,PG-13
49,Dawn of the Dead,7.4,R
50,Without a Paddle,5.7,PG-13
