Position,Title,IMDB,Rating
1,Titanic,7.4,PG-13
2,Men in Black,7.0,PG-13
3,The Lost World: Jurassic Park,6.0,PG-13
4,Liar Liar,6.7,PG-13
5,Air Force One,6.3,R
6,As Good as It Gets,7.8,PG-13
7,Batman & Robin,3.6,PG-13
8,My Best Friend's Wedding,6.2,PG-13
9,Tomorrow Never Dies,6.4,PG-13
10,Face/Off,7.3,R
11,George of the Jungle,5.3,PG
12,Scream 2,5.9,R
13,Con Air,6.6,R
14,Contact,7.4,PG
15,Hercules,6.8,G
16,Flubber,4.6,PG
17,Conspiracy Theory,6.5,R
18,I Know What You Did Last Summer,5.4,R
19,Dante's Peak,5.7,PG-13
20,Anaconda,4.4,PG-13
21,Anastasia,6.7,G
22,L.A. Confidential,8.4,R
23,In & Out,6.1,PG-13
24,The Fifth Element,7.5,PG-13
25,Mousehunt,6.1,PG
26,The Saint,5.9,PG-13
27,The Devil's Advocate,7.3,R
28,Kiss the Girls,6.4,R
29,Jungle 2 Jungle,4.6,PG
30,Spawn,4.9,R
31,The Jackal,6.0,R
32,Starship Troopers,7.1,R
33,Austin Powers: International Man of Mystery,7.0,PG-13
34,Breakdown,6.8,R
35,Evita,6.1,PG
36,Absolute Power,6.6,R
37,The Game,7.7,R
38,G.I. Jane,5.6,R
39,Speed 2: Cruise Control,3.5,PG-13
40,Alien: Resurrection,6.2,R
41,Volcano,5.2,PG-13
42,The Full Monty,7.2,R
43,The Rainmaker,6.9,PG-13
44,Bean,5.9,PG-13
45,Cop Land,6.9,R
46,Nothing to Lose,6.5,R
47,Amistad,7.1,R
48,Soul Food,6.4,TV-MA
49,The Devil's Own,5.9,R
50,Donnie Brasco,7.8,R
