Position,Title,IMDB,Rating
2,Avengers: Infinity War,8.6,PG-13
3,Incredibles 2,8.1,PG
5,Aquaman,7.4,
6,Deadpool 2,7.9,R
7,The Grinch,6.4,PG
8,Mission: Impossible - Fallout,8.1,PG-13
9,Ant-Man and the Wasp,7.4,PG-13
10,Bohemian Rhapsody,8.4,
11,A Star Is Born,8.3,R
12,Solo: A Star Wars Story,7.1,PG-13
13,Venom,7.0,
14,Ralph Breaks the Internet,7.3,
15,Spider-Man: Into the Spider-Verse,8.7,
16,A Quiet Place,7.7,PG-13
17,Crazy Rich Asians,7.5,PG-13
18,Mary Poppins Returns,7.2,
19,Hotel Transylvania 3: Summer Vacation,6.3,PG
20,Fantastic Beasts: The Crimes of Grindelwald,6.8,
21,Halloween,7.1,R
22,The Meg,6.0,PG-13
23,Ocean's 8,6.3,PG-13
24,Ready Player One,7.6,PG-13
25,Bumblebee,7.2,
26,Mamma Mia! Here We Go Again,7.2,PG-13
27,The Nun,5.7,R
28,Creed II,7.3,
29,Peter Rabbit,6.3,PG
30,The Mule,7.2,
31,The Equalizer 2,7.0,R
32,A Wrinkle in Time,4.2,PG
33,Fifty Shades Freed,4.4,R
34,Rampage,6.2,PG-13
35,Christopher Robin,7.7,PG
36,Green Book,8.3,
37,I Can Only Imagine,7.6,PG
38,Smallfoot,6.8,PG
39,The Post,7.4,PG-13
41,The First Purge,5.3,R
42,Game Night,7.4,R
43,The House with a Clock in its Walls,6.2,PG
44,Book Club,6.1,PG-13
45,Skyscraper,6.0,PG-13
46,Insidious: The Last Key,5.8,PG-13
47,Instant Family,7.6,
48,Blockers,6.3,R
49,Pacific Rim Uprising,5.9,PG-13
51,Tomb Raider,6.8,PG-13
52,The Nutcracker and the Four Realms,5.6,
53,Tag,6.6,R
54,A Simple Favor,7.2,
55,Life of the Party,5.5,PG-13
56,The Predator,5.9,
57,Overboard,5.9,PG-13
58,Sicario: Day of the Soldado,7.3,R
59,I Feel Pretty,5.2,PG-13
60,BlacKkKlansman,7.8,R
61,Vice,7.1,
62,Red Sparrow,6.7,R
63,Goosebumps 2: Haunted Halloween,6.0,
64,Breaking In,5.2,PG-13
65,12 Strong,7.0,R
66,Den of Thieves,7.2,R
67,First Man,7.6,PG-13
68,Hereditary,7.4,R
69,Tyler Perry's Acrimony,5.5,R
70,Sherlock Gnomes,4.7,PG
71,Uncle Drew,5.7,PG-13
72,Widows,7.4,R
73,"Love, Simon",8.1,PG-13
74,Truth or Dare,5.1,PG-13
75,Paddington 2,8.2,PG
76,Second Act,6.0,
77,The Commuter,6.5,PG-13
78,The 15:17 to Paris,5.1,PG-13
79,Mile 22,6.1,R
80,Alpha,7.0,PG-13
82,The Favourite,7.9,
83,Death Wish,6.5,R
84,The Spy Who Dumped Me,6.4,R
86,Isle of Dogs,8.0,PG-13
87,Nobody's Fool,4.3,
88,Adrift,6.6,PG-13
89,Robin Hood,5.3,PG-13
90,Super Troopers 2,6.2,R
91,Holmes and Watson,3.4,
92,Slender Man,3.0,PG-13
93,"I, Tonya",7.7,R
94,Hostiles,7.3,R
95,The Hate U Give,6.9,
96,Teen Titans Go! To the Movies,6.8,PG
97,Molly's Game,7.6,R
98,Searching,7.9,
99,Winchester,5.4,PG-13
100,The Strangers: Prey at Night,5.7,R
